workerid,gender,nativeLanguage,exampleCounterfactual,actionID.1,actionID.2,actionID.3,actionID.4,actionID.5,actionID.6,actionID.7,actionID.8,actionID.9,actionID.10,actionID.11,actionID.12,actionID.13,actionID.14,actionID.15,action.1,action.2,action.3,action.4,action.5,action.6,action.7,action.8,action.9,action.10,action.11,action.12,action.13,action.14,action.15,order.1,order.2,order.3,order.4,order.5,order.6,order.7,order.8,order.9,order.10,order.11,order.12,order.13,order.14,order.15,freeResponsesOrdered.1,freeResponsesOrdered.2,freeResponsesOrdered.3,freeResponsesOrdered.4,freeResponsesOrdered.5,freeResponsesOrdered.6,freeResponsesOrdered.7,freeResponsesOrdered.8,freeResponsesOrdered.9,freeResponsesOrdered.10,freeResponsesOrdered.11,freeResponsesOrdered.12,freeResponsesOrdered.13,freeResponsesOrdered.14,freeResponsesOrdered.15,counterfactualJudgmentsOrdered.1,counterfactualJudgmentsOrdered.2,counterfactualJudgmentsOrdered.3,counterfactualJudgmentsOrdered.4,counterfactualJudgmentsOrdered.5,counterfactualJudgmentsOrdered.6,counterfactualJudgmentsOrdered.7,counterfactualJudgmentsOrdered.8,counterfactualJudgmentsOrdered.9,counterfactualJudgmentsOrdered.10,counterfactualJudgmentsOrdered.11,counterfactualJudgmentsOrdered.12,counterfactualJudgmentsOrdered.13,counterfactualJudgmentsOrdered.14,counterfactualJudgmentsOrdered.15,reactionTime.1,reactionTime.2,reactionTime.3,reactionTime.4,reactionTime.5,reactionTime.6
44,F,English,5,2,8,13,10,12,5,14,7,3,15,1,11,4,9,6,smiled,cursed,sighed,frowned,sat down,laughed,killed himself,slept,yelled,punched the wall,cried,relaxed,jumped,danced,screamed,1,7,12,9,11,4,13,6,2,14,0,10,3,8,5, his dog had passed away, he saw someone he loved, he was angry at his boss, he was excited about his grade, she was watching a dog video, he cut his finger with a sharp knife, he was tired from working all day, he hit his big toe on the leg of the table, he was at prom, he has to pay a bill, it was end of the day at work, he had to fill out some paperwork, he didn't turn in his homework, he felt sad and alone, he was upset with his best friend and girlfriend,1,6,1,7,7,4,7,4,1,6,1,7,1,1,1,103287,95410,75474,60183,46133,52459
45,M,English,3,11,9,7,13,10,5,14,6,12,2,15,4,3,1,8,relaxed,danced,slept,sighed,frowned,laughed,killed himself,screamed,sat down,smiled,punched the wall,jumped,yelled,cried,cursed,10,8,6,12,9,4,13,5,11,1,14,3,2,0,7,he lost his dog,he received a compliment,of the background noise,he heard a loud noise,his cat slid across the floor,he burned himself,he was tired,he stubbed his toe,He just received a promotion,of the smell, his day was over,his back hurt,he was stressed out,his parents died in an accident,his girlfriend cheated on him,3,7,1,3,6,4,2,5,7,1,7,7,3,1,3,66990,46766,68100,43400,46429,42438
46,F,English,3,14,8,4,12,1,2,15,7,11,5,3,10,9,6,13,killed himself,cursed,jumped,sat down,cried,smiled,punched the wall,slept,relaxed,laughed,yelled,frowned,danced,screamed,sighed,13,7,3,11,0,1,14,6,10,4,2,9,8,5,12,he was sad. ,he was happy ,he was angry ,he was frightened,he was happy ,he was afraid ,he was tired ,he was angry ,he was happy ,he was upset ,he had sex ,he was tired ,he was annoyed ,He had depression,he was angry ,5,7,1,4,1,5,2,3,7,7,1,5,1,3,7,16798,12445,13925,6550,7134,14694
47,M,English,1,8,11,1,12,9,10,2,7,4,3,14,6,15,13,5,cursed,relaxed,cried,sat down,danced,frowned,smiled,slept,jumped,yelled,killed himself,screamed,punched the wall,sighed,laughed,7,10,0,11,8,9,1,6,3,2,13,5,14,12,4,he watched a sad movie,he was happy,he was angry,he was joyful,he was giggly,he was agitated ,he was tired,he got angry,he was happy,he was sad,he was on a cruise,he was taking a break,he was tired,he was suicidal,he was furious,3,2,1,2,5,2,3,3,5,3,5,5,3,1,4,52111,174115,26580,15891,15757,14125
48,F,english,1,9,4,8,5,6,11,2,7,13,3,1,10,15,12,14,danced,jumped,cursed,laughed,screamed,relaxed,smiled,slept,sighed,yelled,cried,frowned,punched the wall,sat down,killed himself,8,3,7,4,5,10,1,6,12,2,0,9,14,11,13,he was sad,he was happy,he was mad,he was startled,the joke was funny,he was scared,he was tired,he was angry,he loved to dance,he was unhappy,he was busy all day,he was standing all day,he was upset,he was suicidal,he was angry,2,6,2,6,2,2,2,6,6,4,6,7,6,1,1,33679,34175,28192,28458,24797,58271
49,M,english,3,12,4,15,7,3,5,11,6,14,1,13,8,9,10,2,sat down,jumped,punched the wall,slept,yelled,laughed,relaxed,screamed,killed himself,cried,sighed,cursed,danced,frowned,smiled,11,3,14,6,2,4,10,5,13,0,12,7,8,9,1,he was sad,he was happy,he was angry,he had too,it was funny,he was scared,he was tired,he was upset,he was happy,he was sad,he was finished,he was tired,he got away with it,he was sad,he was mad,4,5,5,5,3,5,4,5,6,4,5,4,4,3,3,22566,28214,20879,9107,9239,10286
50,M,english,1,5,7,15,13,3,8,12,11,1,9,4,14,10,6,2,laughed,slept,punched the wall,sighed,yelled,cursed,sat down,relaxed,cried,danced,jumped,killed himself,frowned,screamed,smiled,4,6,14,12,2,7,11,10,0,8,3,13,9,5,1, he was sad, he liked what happened. , he was mad, he was scared,he liked the joke, he was very mad, he was tired,he was pissed, he enjoyed dancing, he was sad, he was done with work., he was tired, he was upset, he was depressed, he was mad,1,3,1,3,3,2,1,3,1,3,3,1,2,2,1,31019,62047,73236,18988,130560,12301
51,F,English,4,14,5,11,8,6,9,4,1,12,2,15,7,3,13,10,killed himself,laughed,relaxed,cursed,screamed,danced,jumped,cried,sat down,smiled,punched the wall,slept,yelled,sighed,frowned,13,4,10,7,5,8,3,0,11,1,14,6,2,12,9,his mom was sick,he thought of a happy memory,he was startled ,he was scared,he heard a funny joke,he broke his leg,he was tired,he stubbed his toe,he won a contest,he was sad,he was off of work,he was tired,he was lonely,he had cancer,he was angry,4,6,4,5,5,4,4,6,4,4,5,5,6,1,5,35081,31312,31103,19584,12973,11689
52,M,English,2,12,10,15,13,3,11,4,2,8,7,9,5,14,1,6,sat down,frowned,punched the wall,sighed,yelled,relaxed,jumped,smiled,cursed,slept,danced,laughed,killed himself,cried,screamed,11,9,14,12,2,10,3,1,7,6,8,4,13,0,5,he watched a sad scene in a movie,he received a nice text message,he was angry,he saw a snake on the ground,he heard a funny joke,a large spider got in his house,it was late,he stubbed his toe,he just won the lottery,he was sad,he had a long day of work that was now finally over,he was going to eat,someone just said something stupid which lacked understanding of basic knowledge,he lost his job,he was mad,1,3,3,1,2,1,4,2,1,3,4,4,2,1,2,86965,44185,41247,81421,45318,39440
53,M,English,1,15,9,8,13,2,11,14,5,7,4,3,1,6,12,10,punched the wall,danced,cursed,sighed,smiled,relaxed,killed himself,laughed,slept,jumped,yelled,cried,screamed,sat down,frowned,14,8,7,12,1,10,13,4,6,3,2,0,5,11,9,his knees hurt.,God had changed his name to Israel.,he was warning Billy.,the hurdle was in his lane.,God made him king of Israel.,his favorite band was on stage.,in was night.,he has low morals.,he was in a contest.,his portion of food was small.,he had finished the task.,everyone else in the auditorium sat down.,he was thinking.,he was in pain from cancer.,he was frustrated.,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,193295,74219,104617,37900,49671,41746
54,M,English,2,15,13,9,11,8,14,5,10,4,6,1,3,7,12,2,punched the wall,sighed,danced,relaxed,cursed,killed himself,laughed,frowned,jumped,screamed,cried,yelled,slept,sat down,smiled,14,12,8,10,7,13,4,9,3,5,0,2,6,11,1,his wife left him.,he was happy to see his girlfriend.,the next door neighbor was being too loud.,he was exercising.,he heard a funny joke.,he wanted to be heard.,he was very tired.,he slammed his hand in the door.,he was feeling good.,his dog ran away.,he had a hard work day.,he wanted to take a break.,he didn't want to go to work.,he didn't enjoy life.,he was mad at his professor.,1,5,1,1,5,2,7,1,3,2,7,6,4,1,1,35827,41016,51471,44094,23177,27253
55,F,English,5,2,4,15,8,10,1,12,11,5,13,7,3,14,6,9,smiled,jumped,punched the wall,cursed,frowned,cried,sat down,relaxed,laughed,sighed,slept,yelled,killed himself,screamed,danced,1,3,14,7,9,0,11,10,4,12,6,2,13,5,8,he was a glass case of emotions. ,he was happy.,he was frustrated.,it was easier to make the shot. ,he heard a funny joke.,he was scared. ,he was tired.,he was frustrated.,he was happy. ,he was sad.,his work for the day was done.,he needed to rest his feet.  ,he was disappointed.,he couldn't stand living in constant pain anymore.,he was angry and out of control.,5,3,1,1,3,2,2,5,3,2,3,5,3,3,1,41011,53315,72925,39249,65100,34326
56,M,English,1,12,6,4,15,2,10,5,9,7,14,8,13,11,3,1,sat down,screamed,jumped,punched the wall,smiled,frowned,laughed,danced,slept,killed himself,cursed,sighed,relaxed,yelled,cried,11,5,3,14,1,9,4,8,6,13,7,12,10,2,0,he's a wuss,he was happy,he's the boss,he saw a mouse,he heard a funny joke,he was afraid,he was tired,he was mad,he was up in da club,he was sad,he was just chillin,he was tired,he was overwhelmed ,he sucked,he was mad,4,5,4,1,3,2,2,4,2,3,5,4,4,1,1,30472,61975,41771,35886,42496,27719
57,M,English,2,10,15,14,11,3,1,9,2,6,4,12,13,8,7,5,frowned,punched the wall,killed himself,relaxed,yelled,cried,danced,smiled,screamed,jumped,sat down,sighed,cursed,slept,laughed,9,14,13,10,2,0,8,1,5,3,11,12,7,6,4,his wife died,someone made him happy,he was angry,he was dancing,he was happy,he was scared,had a long day,he was mad,he was bored,he was sad,he worked hard that day,he was tired,was upset,his life was pointless,was upset,2,3,2,2,2,3,2,3,2,3,4,5,3,2,3,29673,100500,45053,97965,43230,121682
58,F,english,7,4,13,14,8,2,11,15,9,3,12,7,5,1,6,10,jumped,sighed,killed himself,cursed,smiled,relaxed,punched the wall,danced,yelled,sat down,slept,laughed,cried,screamed,frowned,3,12,13,7,1,10,14,8,2,11,6,4,0,5,9,he felt sad,he was amused,he felt he wasn't heard,he was startled,he was amused,he felt he wasn't heard,he felt tired,he was frustrated,he felt jovial,he was disappointed,he had been working,the task required him to,he felt disappointed,he felt isolated,he was angry,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,63798,52653,40337,38086,46625,23005
59,F,English,1,4,13,14,5,7,10,3,1,8,2,9,6,15,12,11,jumped,sighed,killed himself,laughed,slept,frowned,yelled,cried,cursed,smiled,danced,screamed,punched the wall,sat down,relaxed,3,12,13,4,6,9,2,0,7,1,8,5,14,11,10,he was sad,he was happy,he was angry,he was happy,something was funny,he was scared,he was tired,he was mad,he was happy,he was sad,he was bored,he was tired,he was frustrated,he was in pain,he was angry,1,6,1,5,1,1,1,1,5,1,5,5,5,1,1,35908,24542,31263,35640,27639,20049
60,F,English,6,8,3,10,6,15,9,14,5,11,1,2,7,4,13,12,cursed,yelled,frowned,screamed,punched the wall,danced,killed himself,laughed,relaxed,cried,smiled,slept,jumped,sighed,sat down,7,2,9,5,14,8,13,4,10,0,1,6,3,12,11,his mother died,he saw his lovely wife,his son had not taken out the trash,he wanted to take a shot,he liked the joke,he was scared,he was tired,he dropped something on his toe,he liked the song,he didn't understand,his work day was done,he was ready to relax,he was bored,he was depressed,he was angry,1,4,3,5,4,1,6,1,4,2,3,5,4,3,1,64009,34297,73517,44329,43599,37827
61,M,english,7,14,11,1,8,2,9,3,6,10,5,15,7,12,4,13,killed himself,relaxed,cried,cursed,smiled,danced,yelled,screamed,frowned,laughed,punched the wall,slept,sat down,jumped,sighed,13,10,0,7,1,8,2,5,9,4,14,6,11,3,12,his dog died.,he was happy.,he was mad.,the snake surprised him.,it was the funniest joke he ever heard.,he hit his thumb with a hammer.,he was tired.,he was extremely frustrated.\n,his favorite song was playing.,he was sad.,he had a very hectic day.,he was weary after a long days work.,he was some what exasperated.,he was severely depressed.,he was angry.,4,7,6,3,4,4,2,6,4,4,7,7,5,4,3,89456,80508,121526,45302,46080,33992
62,M,Bulgarian,2,13,11,2,8,3,10,4,5,6,14,9,1,7,15,12,sighed,relaxed,smiled,cursed,yelled,frowned,jumped,laughed,screamed,killed himself,danced,cried,slept,punched the wall,sat down,12,10,1,7,2,9,3,4,5,13,8,0,6,14,11,he was sad. ,he was happy.,he was angry.,he got scared. ,the joke was funny. ,he was scared. ,he was tired. ,he was angry.,he went on a date. ,he was annoyed.,he was home.,he was tired. ,he was tired.,he was deeply depressed. ,he was angry.,2,6,2,2,1,6,2,7,3,3,7,2,6,1,1,45518,48232,325585,45801,101029,46327
63,F,English,1,10,13,1,6,15,3,4,14,5,11,8,7,12,9,2,frowned,sighed,cried,screamed,punched the wall,yelled,jumped,killed himself,laughed,relaxed,cursed,slept,sat down,danced,smiled,9,12,0,5,14,2,3,13,4,10,7,6,11,8,1,he found out that his father had passed away,of the news,he could not control himself anymore,of the loud noise,of the funny joke,she saw a spider,he was exhausted,he was furious and outraged,he was happy,he was angry at the cashier,he had a long day ,he had been standing for too long and felt faint,he wanted to rest but he still had a lot of work to do,he was very depressed and things had seemed hopeless,he knew that his co-worker getting the promotion was unfair,2,6,6,2,5,6,7,6,6,6,6,6,6,6,6,61585,52564,48461,31577,31574,18900
64,M,english,1,8,9,13,12,7,14,10,5,1,3,4,2,6,15,11,cursed,danced,sighed,sat down,slept,killed himself,frowned,laughed,cried,yelled,jumped,smiled,screamed,punched the wall,relaxed,7,8,12,11,6,13,9,4,0,2,3,1,5,14,10,his dog died,he thought of his mother,she was mad,a spider landed on his arm,his daughter made a funny face,the car hit the lady,the cough medicine had codeine in it,he hit his thumb with the hammer,it finally started raining,he burnt his toast,he was finally done working for the da,he was tired of walking in the mall,Joy was late again,he felt there was nothing to live for,he was mad at his roommate,1,5,2,1,5,1,7,1,3,5,4,7,1,1,1,89854,72146,70578,59981,29476,23586
65,M,English,2,6,4,7,8,9,14,12,1,3,15,10,13,2,11,5,screamed,jumped,slept,cursed,danced,killed himself,sat down,cried,yelled,punched the wall,frowned,sighed,smiled,relaxed,laughed,5,3,6,7,8,13,11,0,2,14,9,12,1,10,4,his girlfriend left him,he had a great day,his dog is not listening to him,he couldn't step up above the rocks,he was watching 40 year old Virgin,he saw a snake he is afraid of,he was worn out from a hard did,his son broke a glass.,he is celebrating an important milestone.,he saw an injured animal on the side,a hard days work is complete,he feet are tired,his coworkers are doing a poor job,he had nothing to live for,he is extremely mad about work,2,6,3,2,4,2,7,2,2,3,5,4,3,2,2,58761,36261,64658,111296,78300,173768
66,M,Engilsh,3,9,4,1,13,7,8,10,11,6,2,15,5,3,12,14,danced,jumped,cried,sighed,slept,cursed,frowned,relaxed,screamed,smiled,punched the wall,laughed,yelled,sat down,killed himself,8,3,0,12,6,7,9,10,5,1,14,4,2,11,13,he lost his pudding,he was with his lover,his dog was running away,he was scared,the joke was funny,he was hit with a bowling ball,he was tired,he stubbed his toe,he was happy,he was sad,he was off for the day,he was tired,he was depressed,he was depressed,he was angry,2,2,2,3,3,2,2,1,2,2,3,3,2,3,3,29720,35841,193267,17093,46889,10557
67,M,English,2,15,6,1,3,13,5,9,10,4,7,14,8,11,12,2,punched the wall,screamed,cried,yelled,sighed,laughed,danced,frowned,jumped,slept,killed himself,cursed,relaxed,sat down,smiled,14,5,0,2,12,4,8,9,3,6,13,7,10,11,1,because he was sad.,because he was happy.,the taxi didn't stop.,he was frightened,because he was uncomfortable.,He was scared.,he'd had a long day.,he was upset.,he was happy.,he was deep in thought.,his work for the day was done.,his legs were getting tired.,because he was bored.,he didn\nhe didn't get a new playstation.,He was mad.,2,4,2,2,3,2,6,4,3,4,5,4,2,5,2,41962,45075,76435,30576,35167,48501
68,M,English,1,15,6,12,10,13,3,1,4,8,14,2,9,11,7,5,punched the wall,screamed,sat down,frowned,sighed,yelled,cried,jumped,cursed,killed himself,smiled,danced,relaxed,slept,laughed,14,5,11,9,12,2,0,3,7,13,1,8,10,6,4,he watched a heart-breaking movie.,he saw a cute puppy.,he was lost in the forest.,he was on a trampoline.,he heard a funny joke.,he got scared by a noise.,he was tired from working.,he hit himself in the foot.,he was at a disco party.,he was sad to hear some news.,he had had a long day.,he was tired after a long day at work.,he disappointed at something.,he was suicidal.,he was angry at himself.,3,7,5,3,7,5,7,7,5,3,7,7,4,1,5,50823,46837,31642,32315,24434,16812
69,M,English,4,2,8,10,12,15,3,14,13,5,7,4,6,9,1,11,smiled,cursed,frowned,sat down,punched the wall,yelled,killed himself,sighed,laughed,slept,jumped,screamed,danced,cried,relaxed,1,7,9,11,14,2,13,12,4,6,3,5,8,0,10,his pet died,he won,they were far,he was jump roping,he heard a joke,he got scared,he was tired,he fell,he felt the groove,he lost,he was off work,he was tired,he was upset,he was depressed,he was angry,4,5,2,3,4,2,3,3,5,3,6,6,3,2,2,18389,37654,37206,20480,19635,13604
70,M,English,1,10,6,3,5,1,9,12,2,4,14,15,8,7,11,13,frowned,screamed,yelled,laughed,cried,danced,sat down,smiled,jumped,killed himself,punched the wall,cursed,slept,relaxed,sighed,9,5,2,4,0,8,11,1,3,13,14,7,6,10,12,he was sad.,he was happy.,he was startled.,he was scared.,he was happy.,he wad scared.,he was tired.,he hurt himself.,he was excited.,he was upset.,he was done for the day.,he was tired.,he was feeling upset.,life sucks.,he was angry.,3,7,4,6,7,5,7,6,7,6,6,7,4,1,3,114666,47857,55802,23947,16923,25935
71,F,English,1,12,7,15,11,9,4,10,14,6,5,1,3,8,2,13,sat down,slept,punched the wall,relaxed,danced,jumped,frowned,killed himself,screamed,laughed,cried,yelled,cursed,smiled,sighed,11,6,14,10,8,3,9,13,5,4,0,2,7,1,12,his father was ill.,he had missed her face.,he caught his girlfriend cheating.,he saw a spider.,the movie was funny.,he was frustrated with the situation.,he was tired.,he stubbed his toe.,he got a promotion.,his boss scolded him.,he was at peace.,he was waiting on a friend.,he was frustrated.,he was a depressed person.,of a tense situation.,7,7,7,7,7,7,2,7,7,7,5,7,7,2,5,37339,49338,52953,54278,45102,24309
72,M,English,1,13,7,10,11,9,3,14,15,12,2,1,4,6,8,5,sighed,slept,frowned,relaxed,danced,yelled,killed himself,punched the wall,sat down,smiled,cried,jumped,screamed,cursed,laughed,12,6,9,10,8,2,13,14,11,1,0,3,5,7,4,his girlfriend dumped him,he saw a funny picture online,his dog peed on the rug,there was a puddle on the street,he saw a funny video online,he was scared by his sister,he didn't sleep enough last night,he was angry ,Melanie called him back,he lost the game,he was done with work all day,he was tired,he lost his wallet,he had a terminal illness,he was mad that he lost the game,1,4,2,4,5,3,4,2,5,3,3,5,3,3,1,53253,44948,56622,54683,39197,50995
73,F,English,5,7,9,14,12,10,4,13,15,11,8,5,2,6,1,3,slept,danced,killed himself,sat down,frowned,jumped,sighed,punched the wall,relaxed,cursed,laughed,smiled,screamed,cried,yelled,6,8,13,11,9,3,12,14,10,7,4,1,5,0,2,his dad died,he was happy,he was mad at Sally,he had energy,he was happy,he was mad,he was tired,he was pissed off,the music was awesome,he was sad,he was done working,he was tired,he was annoyed,he was sad,he was mad,7,5,7,7,5,6,4,3,5,3,7,7,5,1,3,21573,21470,15781,25364,43979,21974
74,M,englush,5,4,12,14,9,3,5,6,1,13,2,10,8,7,15,11,jumped,sat down,killed himself,danced,yelled,laughed,screamed,cried,sighed,smiled,frowned,cursed,slept,punched the wall,relaxed,3,11,13,8,2,4,5,0,12,1,9,7,6,14,10,he was sad,he was happy,he was angry,he was scared,it was funny,he was mad,he was tired,he was mad,he was happy,he was sad,he was content,he was tired,he was relieved,he was sad,he was mad,4,6,3,3,4,5,4,6,5,4,6,3,3,6,3,23226,18693,18680,9768,10163,11442
75,F,english,5,15,6,4,13,9,5,2,7,11,3,12,10,14,1,8,punched the wall,screamed,jumped,sighed,danced,laughed,smiled,slept,relaxed,yelled,sat down,frowned,killed himself,cried,cursed,14,5,3,12,8,4,1,6,10,2,11,9,13,0,7,he heard some bad news,he was happy,he was upset,he saw a mouse,he heard a good joke,she was scared,he was tired,he was upset,he was happy.,he was unhappy,he was exhausted,he was tired,he was nervous,his wife left him,he was mad,3,6,6,5,6,3,5,4,4,4,5,4,3,4,3,34751,33004,39670,20193,15944,17745
76,F,English,5,8,13,6,15,3,4,9,10,11,2,12,5,14,7,1,cursed,sighed,screamed,punched the wall,yelled,jumped,danced,frowned,relaxed,smiled,sat down,laughed,killed himself,slept,cried,7,12,5,14,2,3,8,9,10,1,11,4,13,6,0,his pet dog died.,he was happy.,he was mad.,there was a load sound.,his favorite comedian told a joke.,he saw a spider.,he had stayed up late the night before.,he stubbed his toe.,he liked the music.,he had made a mistake.,he was sitting in a nice chair.,he was tired.,it was still hours before lunch.,he felt too much pain.,he was hallucinating.,5,6,6,6,5,3,7,5,3,6,6,4,5,3,5,57604,42118,45406,40912,26121,25367
77,F,English,7,11,4,13,12,9,10,3,7,6,15,2,5,1,8,14,relaxed,jumped,sighed,sat down,danced,frowned,yelled,slept,screamed,punched the wall,smiled,laughed,cried,cursed,killed himself,10,3,12,11,8,9,2,6,5,14,1,4,0,7,13,nothing was going his way.,his girlfriend said yes.,he didnt think anyone would listen to him otherwise.,he was startled.,he hadn't heard a joke that good in a long time.,a spider crawled onto his shoulder.,he was exhausted.,he slammed his hand in the car door.,he got a promotion.,the waiter brought the wrong order.,he felt good about the presentation he made.,he was tired.,he didnt understand how peopel could be so careless.,he felt no one cared.,he was angry.,3,7,6,7,7,5,7,3,7,6,7,7,7,2,4,292123,115161,88876,47627,58522,26688
78,M,English,1,2,8,4,7,3,11,1,13,15,6,14,10,9,5,12,smiled,cursed,jumped,slept,yelled,relaxed,cried,sighed,punched the wall,screamed,killed himself,frowned,danced,laughed,sat down,1,7,3,6,2,10,0,12,14,5,13,9,8,4,11,he missed his parents,he saw his crush,he was so mad at his parents,he saw a rat run across the ground,he found to joke to be hilarious,he was watching a scary movie,he felt so tired from work,he was so mad at what happened,he was forced to by his coworkers at the party,his parents did not buy him what he wanted,he finally completed his work assignment,he felt tired standing up,he felt a little hopeless,he did not enjoy life anymore,he was so mad at his girlfriend,1,5,1,1,3,1,6,1,2,2,6,5,4,1,1,53342,49114,51526,38687,24919,22204
79,M,english,1,5,15,7,6,2,14,1,10,12,13,4,11,9,3,8,laughed,punched the wall,slept,screamed,smiled,killed himself,cried,frowned,sat down,sighed,jumped,relaxed,danced,yelled,cursed,4,14,6,5,1,13,0,9,11,12,3,10,8,2,7,his mom died,his friend fell down,he hit his thumb with the hammer,of the water puddle,the joke was funny,the masked man scared him,he was tired from work,he was upset at the loss,he like the song,he was mad,he had just got off work,he was tired,he felt frustrated ,his girlfriend left him,he got upset from losing the game,1,3,1,2,1,1,4,2,4,3,7,5,3,3,1,44101,33344,39385,22128,30789,32683
80,M,english,1,3,7,10,2,15,12,11,6,8,14,13,4,1,5,9,yelled,slept,frowned,smiled,punched the wall,sat down,relaxed,screamed,cursed,killed himself,sighed,jumped,cried,laughed,danced,2,6,9,1,14,11,10,5,7,13,12,3,0,4,8,was a wimp.,he realized he was going to score really high on the exam.,he burnt his hand on the frying pan.,he saw a mouse.,he heard a fantastic joke on tv.,he was having a horrible nightmare.,he had worked all weekend and was exhausted.,he was stung by a wasp.,he got a date with a girl hes loved for some time.,he got a nasty taste in his mouth while drinking spoiled milk.,he needed a mental break.,his legs were tired from hiking all weekend.,he was growing board of the rabbis dull sermon.,he lost everything in the stock market and was embarrassed.,he was so angry at his wife.,3,1,1,1,1,1,2,1,1,1,3,6,1,1,1,60361,87919,40294,53560,43765,27923
81,M,English,2,12,4,6,15,9,1,14,7,8,5,13,11,10,2,3,sat down,jumped,screamed,punched the wall,danced,cried,killed himself,slept,cursed,laughed,sighed,relaxed,frowned,smiled,yelled,11,3,5,14,8,0,13,6,7,4,12,10,9,1,2,he was sad.,he finally got to bust a nut,his cat jumped on him with her claws out,he was excited.,his good buddy just told him a joke.,he was scared.,he'd been up for 48 hours.,he just stubbed his toe.,he was overjoyed.,his grandmother just died,he got off of work,he was tired.,his manager walked into the room,life no longer had meaning and his was purposeless.,he was angry.,2,2,1,2,4,3,5,6,5,1,2,7,5,1,1,84051,31174,52112,41172,35461,20669
82,F,English,2,12,11,14,5,6,7,2,10,15,9,8,4,1,13,3,sat down,relaxed,killed himself,laughed,screamed,slept,smiled,frowned,punched the wall,danced,cursed,jumped,cried,sighed,yelled,11,10,13,4,5,6,1,9,14,8,7,3,0,12,2,he was sad,it was polite,his team messed up,he was on a trampoline,he was nervous,he got scared,it was night,that is how he talks,he was excited,he was deep in thought,he had worked hard,he was tired,he heard a bad joke,he was ill,he was frustrated,2,6,4,4,6,4,4,4,4,4,4,5,4,3,2,77310,49069,160260,134695,113388,139590
83,F,english,3,10,6,15,11,3,1,12,9,13,4,5,8,2,7,14,frowned,screamed,punched the wall,relaxed,yelled,cried,sat down,danced,sighed,jumped,laughed,cursed,smiled,slept,killed himself,9,5,14,10,2,0,11,8,12,3,4,7,1,6,13,he stubbed his toe,his son brought him a gift,was frustrated\nwas frustrated,was scared by his friend surprise,he saw a funny picture,he saw a spider.,he was tired,his accidentally cut his thumb,he was excited,he saw stray kitten mewing.,it was his day off,his feet hurt,he was relieved,was depressed,he was angry,2,5,3,2,2,2,5,1,2,2,3,6,5,5,1,42785,39041,505973,38872,22622,23764
84,F,English,6,7,12,14,10,13,9,8,3,2,5,4,11,15,6,1,slept,sat down,killed himself,frowned,sighed,danced,cursed,yelled,smiled,laughed,jumped,relaxed,punched the wall,screamed,cried,6,11,13,9,12,8,7,2,1,4,3,10,14,5,0,her dog had to be put down,he was happy,they couldn't hear him,the boat was sinking,he heard something funny,he lost his wife,he was tired,he was mad,he was happy,he was upset,they told him he was fine,he was tired,he was frustrated,he was depressed,he was angry,5,3,6,5,3,5,1,6,6,1,5,2,4,1,1,36949,33918,46339,28719,43365,29548
85,M,English,2,14,7,10,13,2,15,8,12,6,5,1,9,3,4,11,killed himself,slept,frowned,sighed,smiled,punched the wall,cursed,sat down,screamed,laughed,cried,danced,yelled,jumped,relaxed,13,6,9,12,1,14,7,11,5,4,0,8,2,3,10,he was sad,he was happy,he was unheard,he was spooked,he was happy,he was scared,he was sleepy,he was angry,he was beaming,was sad,he was concluded,he was tired,he was unsure,he was unhappy,he was upset,1,2,1,1,4,1,2,2,2,2,2,5,3,2,1,36766,23318,55537,12527,13144,12833
86,F,English,3,6,4,7,9,12,11,15,10,5,2,13,3,14,8,1,screamed,jumped,slept,danced,sat down,relaxed,punched the wall,frowned,laughed,smiled,sighed,yelled,killed himself,cursed,cried,5,3,6,8,11,10,14,9,4,1,12,2,13,7,0,the pain couldn't be alleviated any other way.,because he has the cutest kids on the block.,his team was winning.,the cat startled him.,the movie was funny.,he saw a snake.,he was very tired.,he felt defeated.,he enjoyed the music.,he was disappointed in the game results.,the day was over.,he was tired.,it had been a long day.,the he felt he could no longer go on.,he was angry.,1,5,1,1,1,1,6,1,3,1,7,4,2,1,1,119197,145995,223753,72939,70061,57449
87,M,English,2,4,10,1,9,3,5,12,2,15,7,13,14,8,6,11,jumped,frowned,cried,danced,yelled,laughed,sat down,smiled,punched the wall,slept,sighed,killed himself,cursed,screamed,relaxed,3,9,0,8,2,4,11,1,14,6,12,13,7,5,10,he was in pain.,he thought of someone he loved.,he was angry,He had to get past something on the ground that he didn't want to walk on.,he just heard a funny joke.,he was horrified.,it was late at night.,he wanted to express himself.,he was happy,he was sad.,he felt he deserved it.,he was exhausted.,he felt defeated.,he didn't think there was any better solution.,somebody just told him bad news.,2,6,4,3,3,2,2,1,1,1,1,5,1,1,4,39610,507841,38171,45118,200478,64813
