workerid,gender,age,nativeLanguage,browser,browserVersion,browserOS,behaviorID.1,behaviorID.2,behaviorID.3,behaviorID.4,behaviorID.5,behaviorID.6,behaviorID.7,behaviorID.8,behaviorID.9,behaviorID.10,behaviorID.11,behaviorID.12,behaviorID.13,behaviorID.14,behaviorID.15,behaviorID.16,behaviorID.17,behaviorID.18,behaviorID.19,behaviorID.20,behaviorType.1,behaviorType.2,behaviorType.3,behaviorType.4,behaviorType.5,behaviorType.6,behaviorType.7,behaviorType.8,behaviorType.9,behaviorType.10,behaviorType.11,behaviorType.12,behaviorType.13,behaviorType.14,behaviorType.15,behaviorType.16,behaviorType.17,behaviorType.18,behaviorType.19,behaviorType.20,behavior.1,behavior.2,behavior.3,behavior.4,behavior.5,behavior.6,behavior.7,behavior.8,behavior.9,behavior.10,behavior.11,behavior.12,behavior.13,behavior.14,behavior.15,behavior.16,behavior.17,behavior.18,behavior.19,behavior.20,order.1,order.2,order.3,order.4,order.5,order.6,order.7,order.8,order.9,order.10,order.11,order.12,order.13,order.14,order.15,order.16,order.17,order.18,order.19,order.20,likelihoodRatingsDesireRaw.1,likelihoodRatingsDesireRaw.2,likelihoodRatingsDesireRaw.3,likelihoodRatingsDesireRaw.4,likelihoodRatingsDesireRaw.5,likelihoodRatingsDesireRaw.6,likelihoodRatingsDesireRaw.7,likelihoodRatingsDesireRaw.8,likelihoodRatingsDesireRaw.9,likelihoodRatingsDesireRaw.10,likelihoodRatingsDesireRaw.11,likelihoodRatingsDesireRaw.12,likelihoodRatingsDesireRaw.13,likelihoodRatingsDesireRaw.14,likelihoodRatingsDesireRaw.15,likelihoodRatingsDesireRaw.16,likelihoodRatingsDesireRaw.17,likelihoodRatingsDesireRaw.18,likelihoodRatingsDesireRaw.19,likelihoodRatingsDesireRaw.20,likelihoodRatingsBeliefRaw.1,likelihoodRatingsBeliefRaw.2,likelihoodRatingsBeliefRaw.3,likelihoodRatingsBeliefRaw.4,likelihoodRatingsBeliefRaw.5,likelihoodRatingsBeliefRaw.6,likelihoodRatingsBeliefRaw.7,likelihoodRatingsBeliefRaw.8,likelihoodRatingsBeliefRaw.9,likelihoodRatingsBeliefRaw.10,likelihoodRatingsBeliefRaw.11,likelihoodRatingsBeliefRaw.12,likelihoodRatingsBeliefRaw.13,likelihoodRatingsBeliefRaw.14,likelihoodRatingsBeliefRaw.15,likelihoodRatingsBeliefRaw.16,likelihoodRatingsBeliefRaw.17,likelihoodRatingsBeliefRaw.18,likelihoodRatingsBeliefRaw.19,likelihoodRatingsBeliefRaw.20,likelihoodRatingsEmotionRaw.1,likelihoodRatingsEmotionRaw.2,likelihoodRatingsEmotionRaw.3,likelihoodRatingsEmotionRaw.4,likelihoodRatingsEmotionRaw.5,likelihoodRatingsEmotionRaw.6,likelihoodRatingsEmotionRaw.7,likelihoodRatingsEmotionRaw.8,likelihoodRatingsEmotionRaw.9,likelihoodRatingsEmotionRaw.10,likelihoodRatingsEmotionRaw.11,likelihoodRatingsEmotionRaw.12,likelihoodRatingsEmotionRaw.13,likelihoodRatingsEmotionRaw.14,likelihoodRatingsEmotionRaw.15,likelihoodRatingsEmotionRaw.16,likelihoodRatingsEmotionRaw.17,likelihoodRatingsEmotionRaw.18,likelihoodRatingsEmotionRaw.19,likelihoodRatingsEmotionRaw.20,likelihoodRatingsSituationRaw.1,likelihoodRatingsSituationRaw.2,likelihoodRatingsSituationRaw.3,likelihoodRatingsSituationRaw.4,likelihoodRatingsSituationRaw.5,likelihoodRatingsSituationRaw.6,likelihoodRatingsSituationRaw.7,likelihoodRatingsSituationRaw.8,likelihoodRatingsSituationRaw.9,likelihoodRatingsSituationRaw.10,likelihoodRatingsSituationRaw.11,likelihoodRatingsSituationRaw.12,likelihoodRatingsSituationRaw.13,likelihoodRatingsSituationRaw.14,likelihoodRatingsSituationRaw.15,likelihoodRatingsSituationRaw.16,likelihoodRatingsSituationRaw.17,likelihoodRatingsSituationRaw.18,likelihoodRatingsSituationRaw.19,likelihoodRatingsSituationRaw.20,reactionTime.1,reactionTime.2,reactionTime.3,reactionTime.4,reactionTime.5,reactionTime.6,reactionTime.7,reactionTime.8,reactionTime.9,reactionTime.10,reactionTime.11,reactionTime.12,reactionTime.13,reactionTime.14,reactionTime.15,reactionTime.16,reactionTime.17,reactionTime.18,reactionTime.19,reactionTime.20
34,M,35,English,Chrome,47,Windows,10,1,6,15,18,2,9,20,5,4,7,14,17,16,13,19,11,8,3,12,expressions,intentional,intentional,unintentional,ambiguous,intentional,expressions,ambiguous,intentional,intentional,expressions,unintentional,unintentional,unintentional,unintentional,ambiguous,expressions,expressions,intentional,expressions,jumped up and down,read a book,watered his new plants,yawned during a lecture,drove above the speed limit,bought a drink,yelled loudly,interrupted his mother,invited Sue to have lunch,stole a pound of peaches,smiled,won the lottery,stubbed his toe,snored in his sleep,fell down,ignored Greg's arguments,laughed,cried,bought a round of drinks for everyone,danced,9,0,5,14,17,1,8,19,4,3,6,13,16,15,12,18,10,7,2,11,76,78,90,5,60,78,74,56,63,69,34,28,14,11,13,15,32,5,42,72,34,43,48,22,19,16,21,23,24,40,23,14,12,10,12,74,19,16,72,31,46,28,18,33,32,8,86,33,54,26,88,9,13,11,13,50,88,89,54,47,60,10,17,70,59,58,55,41,12,32,39,79,85,84,81,23,52,77,21,51,21270,9418,11919,10019,33990,8104,9714,9696,8936,17618,9947,12264,7631,7430,6950,7552,6726,10156,8287,9433
35,M,25,english,Chrome,47,Windows,14,10,19,16,9,17,5,18,12,3,1,2,20,6,11,7,4,13,8,15,unintentional,expressions,ambiguous,unintentional,expressions,unintentional,intentional,ambiguous,expressions,intentional,intentional,intentional,ambiguous,intentional,expressions,expressions,intentional,unintentional,expressions,unintentional,won the lottery,jumped up and down,ignored Greg's arguments,snored in his sleep,yelled loudly,stubbed his toe,invited Sue to have lunch,drove above the speed limit,danced,bought a round of drinks for everyone,read a book,bought a drink,interrupted his mother,watered his new plants,laughed,smiled,stole a pound of peaches,fell down,cried,yawned during a lecture,13,9,18,15,8,16,4,17,11,2,0,1,19,5,10,6,3,12,7,14,8,100,49,0,22,0,34,100,42,49,48,52,19,100,12,11,64,0,11,0,9,0,100,0,55,0,9,7,12,16,12,25,14,0,21,19,20,0,23,13,8,0,61,0,100,0,97,19,77,81,59,93,86,11,100,100,71,0,100,0,100,17,18,100,28,100,34,31,66,54,6,44,38,0,12,16,41,100,11,100,14919,8061,15967,6918,7624,5342,6671,7031,7053,7770,8174,7300,8097,7744,7095,5088,8813,6260,6275,9188
36,F,45,English,Chrome,47,Windows,14,17,5,16,4,7,19,20,3,11,6,18,12,8,10,2,15,9,1,13,unintentional,unintentional,intentional,unintentional,intentional,expressions,ambiguous,ambiguous,intentional,expressions,intentional,ambiguous,expressions,expressions,expressions,intentional,unintentional,expressions,intentional,unintentional,won the lottery,stubbed his toe,invited Sue to have lunch,snored in his sleep,stole a pound of peaches,smiled,ignored Greg's arguments,interrupted his mother,bought a round of drinks for everyone,laughed,watered his new plants,drove above the speed limit,danced,cried,jumped up and down,bought a drink,yawned during a lecture,yelled loudly,read a book,fell down,13,16,4,15,3,6,18,19,2,10,5,17,11,7,9,1,14,8,0,12,0,0,66,0,52,0,0,0,44,2,67,92,10,1,0,19,1,2,75,0,0,0,46,0,69,15,45,58,82,2,29,39,1,0,0,7,2,12,69,0,0,0,65,0,51,79,57,82,88,82,0,51,67,100,100,7,53,93,50,0,100,98,33,100,62,79,32,33,30,74,0,65,59,93,62,91,97,72,11,100,42530,16305,11212,11298,13249,10278,10148,9651,8748,8582,66105,7443,6898,9614,12736,8040,10229,9330,13464,9611
37,M,35,English,Chrome,47,Windows,2,16,19,14,12,15,4,3,6,13,1,10,20,17,8,9,18,11,5,7,intentional,unintentional,ambiguous,unintentional,expressions,unintentional,intentional,intentional,intentional,unintentional,intentional,expressions,ambiguous,unintentional,expressions,expressions,ambiguous,expressions,intentional,expressions,bought a drink,snored in his sleep,ignored Greg's arguments,won the lottery,danced,yawned during a lecture,stole a pound of peaches,bought a round of drinks for everyone,watered his new plants,fell down,read a book,jumped up and down,interrupted his mother,stubbed his toe,cried,yelled loudly,drove above the speed limit,laughed,invited Sue to have lunch,smiled,1,15,18,13,11,14,3,2,5,12,0,9,19,16,7,8,17,10,4,6,29,6,38,4,58,6,74,39,87,12,82,46,47,8,56,55,54,27,48,43,34,5,36,4,19,21,26,49,66,4,26,11,16,5,14,17,38,38,53,35,39,6,60,4,63,17,21,59,37,10,20,57,58,11,86,54,36,66,46,74,81,100,25,95,55,89,64,27,26,91,12,22,30,93,44,50,30,33,10,31,18657,12268,13912,11777,10349,9420,13191,12038,9389,18896,11103,12738,9365,7420,21222,15333,12103,13468,10617,7484
38,F,35,English,Chrome,47,Windows,14,9,16,17,18,15,11,12,20,19,6,2,1,4,10,7,8,13,5,3,unintentional,expressions,unintentional,unintentional,ambiguous,unintentional,expressions,expressions,ambiguous,ambiguous,intentional,intentional,intentional,intentional,expressions,expressions,expressions,unintentional,intentional,intentional,won the lottery,yelled loudly,snored in his sleep,stubbed his toe,drove above the speed limit,yawned during a lecture,laughed,danced,interrupted his mother,ignored Greg's arguments,watered his new plants,bought a drink,read a book,stole a pound of peaches,jumped up and down,smiled,cried,fell down,invited Sue to have lunch,bought a round of drinks for everyone,13,8,15,16,17,14,10,11,19,18,5,1,0,3,9,6,7,12,4,2,87,65,13,8,75,23,41,76,82,73,79,74,85,86,85,33,46,30,92,93,54,60,17,7,58,12,64,41,73,77,29,53,64,63,53,70,79,7,67,78,65,86,13,8,50,44,85,68,80,81,39,55,64,65,78,84,98,55,79,87,64,84,61,53,57,63,54,75,65,60,68,74,71,78,69,56,39,68,81,89,14843,14717,6864,5928,14071,6583,6854,6402,7608,11839,6206,11224,6158,8609,7928,6720,5623,7464,6960,7944
39,M,35,English,Firefox,43,Windows,11,18,14,10,7,3,4,16,20,19,8,6,1,15,13,2,12,9,17,5,expressions,ambiguous,unintentional,expressions,expressions,intentional,intentional,unintentional,ambiguous,ambiguous,expressions,intentional,intentional,unintentional,unintentional,intentional,expressions,expressions,unintentional,intentional,laughed,drove above the speed limit,won the lottery,jumped up and down,smiled,bought a round of drinks for everyone,stole a pound of peaches,snored in his sleep,interrupted his mother,ignored Greg's arguments,cried,watered his new plants,read a book,yawned during a lecture,fell down,bought a drink,danced,yelled loudly,stubbed his toe,invited Sue to have lunch,10,17,13,9,6,2,3,15,19,18,7,5,0,14,12,1,11,8,16,4,10,99,1,20,6,83,100,0,63,24,9,97,98,11,0,89,81,17,1,96,3,38,0,23,79,83,50,0,82,91,61,98,84,1,0,71,26,49,1,73,89,42,1,91,97,61,35,0,90,91,99,7,8,3,1,90,80,99,1,53,90,98,99,87,84,98,98,95,89,4,95,61,6,80,100,69,99,98,96,46,140380,8803,60965,13839,12800,38914,8427,9144,7210,17434,6497,7478,67772,12480,8156,6375,8295,6552,33356,10656
40,M,25,English,Chrome,47,Windows,7,16,14,6,1,3,17,9,13,11,8,5,12,10,19,15,20,2,4,18,expressions,unintentional,unintentional,intentional,intentional,intentional,unintentional,expressions,unintentional,expressions,expressions,intentional,expressions,expressions,ambiguous,unintentional,ambiguous,intentional,intentional,ambiguous,smiled,snored in his sleep,won the lottery,watered his new plants,read a book,bought a round of drinks for everyone,stubbed his toe,yelled loudly,fell down,laughed,cried,invited Sue to have lunch,danced,jumped up and down,ignored Greg's arguments,yawned during a lecture,interrupted his mother,bought a drink,stole a pound of peaches,drove above the speed limit,6,15,13,5,0,2,16,8,12,10,7,4,11,9,18,14,19,1,3,17,14,1,0,100,100,1,0,48,0,50,23,100,52,29,50,0,48,0,100,0,78,1,2,59,9,0,0,73,0,50,51,0,0,0,99,50,99,0,0,0,99,2,1,3,43,84,0,100,28,100,100,55,100,100,100,26,14,100,100,0,46,98,99,97,32,100,100,100,100,50,82,39,73,100,100,100,52,59,100,100,20158,21296,16464,12980,15090,14326,9160,10554,12794,13660,8391,10170,13252,8902,15416,11764,9813,12633,12349,12863
41,F,35,English,Chrome,47,Windows,2,17,7,8,11,18,10,6,14,13,9,20,4,19,16,3,15,12,1,5,intentional,unintentional,expressions,expressions,expressions,ambiguous,expressions,intentional,unintentional,unintentional,expressions,ambiguous,intentional,ambiguous,unintentional,intentional,unintentional,expressions,intentional,intentional,bought a drink,stubbed his toe,smiled,cried,laughed,drove above the speed limit,jumped up and down,watered his new plants,won the lottery,fell down,yelled loudly,interrupted his mother,stole a pound of peaches,ignored Greg's arguments,snored in his sleep,bought a round of drinks for everyone,yawned during a lecture,danced,read a book,invited Sue to have lunch,1,16,6,7,10,17,9,5,13,12,8,19,3,18,15,2,14,11,0,4,0,0,0,0,38,81,60,83,0,0,52,69,83,81,0,84,42,72,98,100,0,0,62,71,59,55,35,32,0,0,57,71,57,83,0,49,58,53,57,52,0,0,100,100,100,59,78,22,0,0,100,72,42,84,0,68,53,87,49,62,100,100,66,84,81,82,51,89,99,100,55,62,58,71,100,65,82,69,38,48,18764,8608,10007,9215,13951,11655,7327,12537,6782,6136,8010,18039,9428,7540,5712,12993,6848,7016,8338,9234
42,F,35,English,Firefox,38,Windows,8,16,11,15,19,12,17,4,20,13,6,18,3,5,1,7,9,2,10,14,expressions,unintentional,expressions,unintentional,ambiguous,expressions,unintentional,intentional,ambiguous,unintentional,intentional,ambiguous,intentional,intentional,intentional,expressions,expressions,intentional,expressions,unintentional,cried,snored in his sleep,laughed,yawned during a lecture,ignored Greg's arguments,danced,stubbed his toe,stole a pound of peaches,interrupted his mother,fell down,watered his new plants,drove above the speed limit,bought a round of drinks for everyone,invited Sue to have lunch,read a book,smiled,yelled loudly,bought a drink,jumped up and down,won the lottery,7,15,10,14,18,11,16,3,19,12,5,17,2,4,0,6,8,1,9,13,26,11,23,35,69,23,14,82,74,16,79,68,81,79,67,18,69,70,49,17,58,11,47,30,58,24,15,38,29,9,37,45,29,35,25,40,21,29,25,35,83,11,83,51,77,70,14,54,47,12,48,22,61,67,50,74,62,50,81,17,71,80,80,75,62,67,81,62,71,78,75,81,80,77,79,76,71,77,70,80,16588,10702,8520,8502,8783,8063,11775,20491,9387,6485,12287,7032,8615,10447,10656,8075,49035,6607,7253,10184
43,M,35,English,Chrome,47,Linux,5,12,9,8,19,20,4,6,16,1,15,18,10,11,7,13,3,14,2,17,intentional,expressions,expressions,expressions,ambiguous,ambiguous,intentional,intentional,unintentional,intentional,unintentional,ambiguous,expressions,expressions,expressions,unintentional,intentional,unintentional,intentional,unintentional,invited Sue to have lunch,danced,yelled loudly,cried,ignored Greg's arguments,interrupted his mother,stole a pound of peaches,watered his new plants,snored in his sleep,read a book,yawned during a lecture,drove above the speed limit,jumped up and down,laughed,smiled,fell down,bought a round of drinks for everyone,won the lottery,bought a drink,stubbed his toe,4,11,8,7,18,19,3,5,15,0,14,17,9,10,6,12,2,13,1,16,100,53,100,0,69,100,100,100,0,100,0,0,0,0,0,0,50,0,100,0,0,0,47,0,100,0,0,0,0,100,0,52,0,0,0,0,50,0,0,0,57,100,100,100,0,0,0,0,0,0,0,0,100,100,100,0,100,0,0,0,48,53,48,51,0,0,100,0,100,0,100,100,0,100,0,100,50,100,53,100,33784,15977,15333,12338,11415,10022,13470,8911,8047,10931,10542,11386,10641,11159,6582,6863,85769,7341,17457,10715
44,F,55,english,Chrome,47,Windows,2,9,10,13,7,11,16,19,8,5,3,1,20,15,17,4,12,14,6,18,intentional,expressions,expressions,unintentional,expressions,expressions,unintentional,ambiguous,expressions,intentional,intentional,intentional,ambiguous,unintentional,unintentional,intentional,expressions,unintentional,intentional,ambiguous,bought a drink,yelled loudly,jumped up and down,fell down,smiled,laughed,snored in his sleep,ignored Greg's arguments,cried,invited Sue to have lunch,bought a round of drinks for everyone,read a book,interrupted his mother,yawned during a lecture,stubbed his toe,stole a pound of peaches,danced,won the lottery,watered his new plants,drove above the speed limit,1,8,9,12,6,10,15,18,7,4,2,0,19,14,16,3,11,13,5,17,11,85,54,1,48,36,0,18,1,0,0,2,0,2,0,15,0,3,100,1,0,69,4,1,98,22,1,0,1,2,0,2,0,0,2,0,0,3,0,1,98,100,84,1,100,99,1,99,98,100,0,2,0,98,0,0,0,3,0,1,62,86,51,73,76,79,100,100,100,0,1,2,0,2,70,15,0,3,0,0,31267,17264,19572,19635,13151,15199,13481,40094,11047,12994,17973,8436,11659,11963,12571,21238,13061,7235,17577,9850
45,M,45,English,Chrome,47,Windows,6,1,17,3,16,8,18,9,14,5,15,20,11,13,19,2,7,10,4,12,intentional,intentional,unintentional,intentional,unintentional,expressions,ambiguous,expressions,unintentional,intentional,unintentional,ambiguous,expressions,unintentional,ambiguous,intentional,expressions,expressions,intentional,expressions,watered his new plants,read a book,stubbed his toe,bought a round of drinks for everyone,snored in his sleep,cried,drove above the speed limit,yelled loudly,won the lottery,invited Sue to have lunch,yawned during a lecture,interrupted his mother,laughed,fell down,ignored Greg's arguments,bought a drink,smiled,jumped up and down,stole a pound of peaches,danced,5,0,16,2,15,7,17,8,13,4,14,19,10,12,18,1,6,9,3,11,98,55,2,48,0,0,99,19,0,52,0,53,0,0,0,16,0,52,100,11,0,20,0,82,0,47,0,0,0,0,0,0,35,0,70,0,19,0,50,1,0,22,1,58,0,100,0,100,0,52,0,85,100,0,92,0,100,100,13,75,53,23,99,83,100,91,100,89,100,21,100,86,100,100,21,52,82,51,35,20,14205,20153,9567,10386,6649,10071,9360,9210,8560,9442,118873,17312,11596,6274,10521,9944,23076,14248,194087,46936
46,F,65,English,Mozilla,11,Windows,12,16,15,18,17,20,10,19,1,9,14,6,5,3,7,13,8,2,11,4,expressions,unintentional,unintentional,ambiguous,unintentional,ambiguous,expressions,ambiguous,intentional,expressions,unintentional,intentional,intentional,intentional,expressions,unintentional,expressions,intentional,expressions,intentional,danced,snored in his sleep,yawned during a lecture,drove above the speed limit,stubbed his toe,interrupted his mother,jumped up and down,ignored Greg's arguments,read a book,yelled loudly,won the lottery,watered his new plants,invited Sue to have lunch,bought a round of drinks for everyone,smiled,fell down,cried,bought a drink,laughed,stole a pound of peaches,11,15,14,17,16,19,9,18,0,8,13,5,4,2,6,12,7,1,10,3,28,10,22,48,14,84,12,63,76,83,11,86,87,73,5,6,8,32,6,84,10,5,11,87,21,50,28,23,74,12,58,70,20,63,7,8,6,64,10,64,90,12,68,13,14,70,97,87,24,94,10,20,88,72,97,7,97,13,98,6,54,95,78,67,96,64,47,50,16,48,22,64,21,41,73,96,68,45,64,15,42824,13014,12921,14643,10951,71927,14036,14313,9341,8701,14705,12941,11495,12303,7966,9221,10030,13361,7116,9647
47,M,45,English,Chrome,47,Mac,16,7,15,1,2,20,18,9,6,19,17,5,3,14,10,12,8,11,4,13,unintentional,expressions,unintentional,intentional,intentional,ambiguous,ambiguous,expressions,intentional,ambiguous,unintentional,intentional,intentional,unintentional,expressions,expressions,expressions,expressions,intentional,unintentional,snored in his sleep,smiled,yawned during a lecture,read a book,bought a drink,interrupted his mother,drove above the speed limit,yelled loudly,watered his new plants,ignored Greg's arguments,stubbed his toe,invited Sue to have lunch,bought a round of drinks for everyone,won the lottery,jumped up and down,danced,cried,laughed,stole a pound of peaches,fell down,15,6,14,0,1,19,17,8,5,18,16,4,2,13,9,11,7,10,3,12,0,9,0,37,43,26,81,7,66,22,0,77,30,0,21,20,0,3,86,0,0,9,0,85,65,27,14,52,40,21,0,10,51,0,19,7,0,0,6,0,0,100,26,10,2,62,4,52,3,54,0,9,23,0,83,81,100,100,0,0,100,0,92,0,7,3,2,8,0,11,100,0,12,100,4,0,0,0,0,100,13782,12805,15416,9857,12263,11132,11306,11488,9727,11519,8703,18503,11079,16785,10239,7799,6463,9816,14360,6222
48,M,35,English,Firefox,43,Windows,15,9,20,10,18,12,1,6,7,17,3,4,19,13,16,14,11,2,8,5,unintentional,expressions,ambiguous,expressions,ambiguous,expressions,intentional,intentional,expressions,unintentional,intentional,intentional,ambiguous,unintentional,unintentional,unintentional,expressions,intentional,expressions,intentional,yawned during a lecture,yelled loudly,interrupted his mother,jumped up and down,drove above the speed limit,danced,read a book,watered his new plants,smiled,stubbed his toe,bought a round of drinks for everyone,stole a pound of peaches,ignored Greg's arguments,fell down,snored in his sleep,won the lottery,laughed,bought a drink,cried,invited Sue to have lunch,14,8,19,9,17,11,0,5,6,16,2,3,18,12,15,13,10,1,7,4,3,68,63,57,91,73,96,93,39,4,52,63,8,6,6,11,10,90,46,97,4,49,61,55,51,56,13,52,39,3,49,61,64,5,4,31,8,4,5,50,69,68,46,97,6,71,13,7,94,4,51,31,43,7,4,0,86,5,97,51,62,69,4,57,91,2,50,9,38,99,51,10,9,98,100,99,55,50,48,53,42048,37130,18430,15177,28855,10215,14295,10917,9877,10793,10674,11164,9379,6935,9038,11179,17740,10797,7148,7732
49,F,35,English,Chrome,47,Windows,15,10,6,14,16,13,19,9,3,20,5,17,7,11,2,8,1,12,18,4,unintentional,expressions,intentional,unintentional,unintentional,unintentional,ambiguous,expressions,intentional,ambiguous,intentional,unintentional,expressions,expressions,intentional,expressions,intentional,expressions,ambiguous,intentional,yawned during a lecture,jumped up and down,watered his new plants,won the lottery,snored in his sleep,fell down,ignored Greg's arguments,yelled loudly,bought a round of drinks for everyone,interrupted his mother,invited Sue to have lunch,stubbed his toe,smiled,laughed,bought a drink,cried,read a book,danced,drove above the speed limit,stole a pound of peaches,14,9,5,13,15,12,18,8,2,19,4,16,6,10,1,7,0,11,17,3,0,63,98,2,1,2,77,52,81,85,64,1,2,1,51,3,97,68,32,2,0,2,100,2,1,2,99,88,62,69,57,2,53,47,49,2,1,50,53,39,0,62,1,2,1,2,97,98,74,80,76,1,99,100,1,98,1,50,2,0,100,52,2,99,98,100,1,29,27,1,0,97,2,1,51,50,57,67,60,79,13958,13648,13349,10962,11010,7312,9500,12314,10838,10640,9528,7612,10736,11624,13845,6677,13579,8431,12356,14063
50,F,35,English,Chrome,47,Windows,18,6,17,14,3,20,16,13,5,11,2,9,12,19,10,8,4,15,1,7,ambiguous,intentional,unintentional,unintentional,intentional,ambiguous,unintentional,unintentional,intentional,expressions,intentional,expressions,expressions,ambiguous,expressions,expressions,intentional,unintentional,intentional,expressions,drove above the speed limit,watered his new plants,stubbed his toe,won the lottery,bought a round of drinks for everyone,interrupted his mother,snored in his sleep,fell down,invited Sue to have lunch,laughed,bought a drink,yelled loudly,danced,ignored Greg's arguments,jumped up and down,cried,stole a pound of peaches,yawned during a lecture,read a book,smiled,17,5,16,13,2,19,15,12,4,10,1,8,11,18,9,7,3,14,0,6,68,74,4,46,59,48,1,3,39,23,51,28,35,53,64,24,53,1,56,11,35,28,3,43,68,31,1,7,38,2,62,21,6,65,5,14,60,2,50,5,19,34,3,11,81,71,2,32,41,85,20,78,58,59,35,91,8,1,11,86,8,10,96,36,20,6,99,91,3,11,3,10,34,6,10,9,23,96,5,15,13567,8010,7517,16588,7430,8505,8531,8408,10189,7626,8177,8665,8225,11606,9116,8141,9127,7165,6993,8934
51,M,25,English,Chrome,47,Windows,2,13,5,20,17,1,16,4,3,18,15,11,14,19,9,6,10,8,12,7,intentional,unintentional,intentional,ambiguous,unintentional,intentional,unintentional,intentional,intentional,ambiguous,unintentional,expressions,unintentional,ambiguous,expressions,intentional,expressions,expressions,expressions,expressions,bought a drink,fell down,invited Sue to have lunch,interrupted his mother,stubbed his toe,read a book,snored in his sleep,stole a pound of peaches,bought a round of drinks for everyone,drove above the speed limit,yawned during a lecture,laughed,won the lottery,ignored Greg's arguments,yelled loudly,watered his new plants,jumped up and down,cried,danced,smiled,1,12,4,19,16,0,15,3,2,17,14,10,13,18,8,5,9,7,11,6,74,48,69,29,62,53,2,100,55,15,32,30,4,27,22,26,20,12,34,27,47,44,45,31,28,37,1,21,55,70,1,22,4,8,29,81,31,29,46,23,60,38,47,43,42,29,0,22,58,29,31,91,5,26,63,24,20,100,44,71,52,51,41,68,43,57,97,38,42,35,97,24,5,47,23,24,31,9,24,18,13038,6383,5099,4035,3016,2332,6800,10745,5967,28946,5532,3482,5517,4300,4219,5482,2917,3801,4850,3814
52,M,55,English,Chrome,47,Windows,8,10,4,18,14,12,11,9,6,1,16,15,5,7,3,2,13,19,20,17,expressions,expressions,intentional,ambiguous,unintentional,expressions,expressions,expressions,intentional,intentional,unintentional,unintentional,intentional,expressions,intentional,intentional,unintentional,ambiguous,ambiguous,unintentional,cried,jumped up and down,stole a pound of peaches,drove above the speed limit,won the lottery,danced,laughed,yelled loudly,watered his new plants,read a book,snored in his sleep,yawned during a lecture,invited Sue to have lunch,smiled,bought a round of drinks for everyone,bought a drink,fell down,ignored Greg's arguments,interrupted his mother,stubbed his toe,7,9,3,17,13,11,10,8,5,0,15,14,4,6,2,1,12,18,19,16,17,13,80,72,90,41,58,47,72,81,2,4,76,32,68,59,4,36,48,3,10,25,26,23,6,10,33,23,58,11,2,4,23,18,16,24,4,67,32,2,82,63,47,21,6,59,92,68,6,21,2,4,64,80,50,45,4,36,61,2,68,83,70,72,66,87,79,82,22,59,99,81,41,78,80,77,98,50,60,98,18704,12655,14991,12326,11874,12454,20110,17320,12496,14766,8479,11649,12535,122294,27936,12433,9262,18751,16615,27504
53,M,25,english,Chrome,47,Windows,14,19,15,6,16,9,4,5,2,8,18,17,10,7,20,11,13,3,12,1,unintentional,ambiguous,unintentional,intentional,unintentional,expressions,intentional,intentional,intentional,expressions,ambiguous,unintentional,expressions,expressions,ambiguous,expressions,unintentional,intentional,expressions,intentional,won the lottery,ignored Greg's arguments,yawned during a lecture,watered his new plants,snored in his sleep,yelled loudly,stole a pound of peaches,invited Sue to have lunch,bought a drink,cried,drove above the speed limit,stubbed his toe,jumped up and down,smiled,interrupted his mother,laughed,fell down,bought a round of drinks for everyone,danced,read a book,13,18,14,5,15,8,3,4,1,7,17,16,9,6,19,10,12,2,11,0,28,48,0,100,0,71,100,100,81,26,99,0,46,30,64,34,0,69,52,100,0,60,0,0,0,68,23,0,0,50,28,0,15,34,12,28,0,26,0,0,0,68,68,0,0,100,48,63,44,100,20,0,100,100,27,100,0,41,69,0,100,13,62,100,100,13,17,24,31,50,59,100,47,44,35,61,100,54,52,46,28024,36206,15376,10283,12513,12079,69515,10732,11506,26213,12364,10632,15466,13286,15668,13548,13365,9782,12450,9251
54,F,45,English,Chrome,47,Windows,7,1,11,14,16,10,12,13,6,5,9,8,18,15,20,4,3,19,17,2,expressions,intentional,expressions,unintentional,unintentional,expressions,expressions,unintentional,intentional,intentional,expressions,expressions,ambiguous,unintentional,ambiguous,intentional,intentional,ambiguous,unintentional,intentional,smiled,read a book,laughed,won the lottery,snored in his sleep,jumped up and down,danced,fell down,watered his new plants,invited Sue to have lunch,yelled loudly,cried,drove above the speed limit,yawned during a lecture,interrupted his mother,stole a pound of peaches,bought a round of drinks for everyone,ignored Greg's arguments,stubbed his toe,bought a drink,6,0,10,13,15,9,11,12,5,4,8,7,17,14,19,3,2,18,16,1,7,95,11,2,0,51,22,2,63,79,54,6,5,1,18,54,33,11,1,92,8,30,4,2,1,2,4,1,9,1,32,40,37,2,4,45,20,2,0,3,95,3,96,2,1,84,72,20,1,77,78,96,47,42,42,13,96,89,1,22,89,75,78,86,97,86,83,94,52,52,76,56,69,93,97,66,53,77,96,75,36976,17391,12243,93555,14167,15768,16410,10038,17817,23962,19813,17360,18952,14031,16933,14617,15824,15169,16829,12922
