freeResponses,Code,,,# 1 = emotion,# 2 = upstream cause of emotion,# 3 = non-emotion mental state (e.g. belief),"# 4 = physical state (e.g. tiredness, pain)","# 5 = enabling factor (e.g. was in dance class), or cause of non-emotion desire"
melanie called him back,,,,,,,,1
the music was awesome,,,,,,1,,
he was happy,,,,1,,,,
he was happy,,,,1,,,,
he liked the music,,,,,,1,,
he got a promotion,,,,,1,,,
he was forced to by his coworkers at the party,,,,,,,,1
he like the song,,,,,,1,,
he got a date with a girl hes loved for some time,,,,,1,,,
he was overjoyed,,,,1,,,,
he was excited,,,,1,,,,
he was excited,,,,1,,,,
he was happy,,,,1,,,,
he was beaming,,,,1,,,,
he enjoyed the music,,,,,,1,,
he was happy,,,,1,,,,
with his sister,,,,,,,,1
he got a pay raise,,,,,1,,,
he liked dancing,,,,,,1,,
he was happy,,,,1,,,,
he had happy feet,,,,,1,,,
he was happy,,,,1,,,,
the band was playing his favorite song,,,,,,,,1
he was at ballroom dance lessons,,,,,,,,1
he loved to dance,,,,,,1,,
sarah asked him to,,,,,,,,1
he wanted to impress his lady,,,,,,1,,
he enjoyed dancing,,,,,,1,,
his favorite song came on,,,,,,,,1
he was upset,,,,1,,,,
he was unhappy,,,,1,,,,
he heard bad news,,,,,,,,1
he hit his shin,,,,,,,1,
his dog died,,,,,,,,1
the summer of george was ruined,,,,,,,,1
he didnt like what he heard,,,,,,1,,
he was sad,,,,1,,,,
he was sad,,,,1,,,,
he was unhappy,,,,1,,,,
he saw someone he didnt want to,,,,,,,,1
he was annoyed,,,,1,,,,
he smelled like an elderly woman,,,,,,,,1
he was confused,,,,1,,,,
he was upset,,,,1,,,,
he was sad,,,,1,,,,
he was sad,,,,1,,,,
he was sad,,,,1,,,,
sad,,,,1,,,,
he was upset,,,,1,,,,
he didnt like his lunch,,,,,,1,,
he was upset,,,,1,,,,
he didnt understand,,,,,,,,1
he was sad,,,,1,,,,
he was upset,,,,1,,,,
he was unhappy,,,,1,,,,
he doesnt like charlies wife,,,,,,,,1
he was not happy to hear that he would have to go to work on his day off,,,,1,,,,
he didnt do well on his test,,,,,1,,,
he was sad,,,,1,,,,
he was concerned,,,,1,,,,
he was upset,,,,1,,,,
he was mad,,,,1,,,,
he didnt understand,,,,,,,,1
he was feeling grim,,,,1,,,,
his pet hamster died,,,,,1,,,
he was upset,,,,1,,,,
the repairs on his car doubled what he expected to pay,,,,,,,,1
because he was mad,,,,1,,,,
he did not like the tone someone was using,,,,,,1,,
he was sad,,,,1,,,,
because it was raining outside,,,,,,,,1
he was sad about the letter,,,,1,,,,
he has to pay a bill,,,,,,,,1
of the smell,,,,,,,,1
he was upset,,,,1,,,,
he was sad,,,,1,,,,
he was unhappy,,,,1,,,,
he was sad,,,,1,,,,
he was sad,,,,1,,,,
he was sad,,,,1,,,,
he was sad,,,,1,,,,
his portion of food was small,,,,,,,,1
his dog ran away,,,,,1,,,
he was sad,,,,1,,,,
he was sad,,,,1,,,,
he was sad,,,,1,,,,
he was disappointed,,,,1,,,,
he was sad,,,,1,,,,
he didnt understand,,,,,,,,1
he was sad,,,,1,,,,
he was annoyed,,,,1,,,,
he was angry at the cashier,,,,1,,,,
he burnt his toast,,,,,,,,1
he saw an injured animal on the side,,,,,,,,1
he was sad,,,,1,,,,
he was deep in thought,,,,,,1,,
he was sad to hear some news,,,,1,,,,
he lost,,,,,1,,,
he was upset,,,,1,,,,
his boss scolded him,,,,,1,,,
he lost the game,,,,,1,,,
he was sad,,,,1,,,,
he was sad,,,,1,,,,
he was unhappy,,,,1,,,,
he had made a mistake,,,,,1,,,
the waiter brought the wrong order,,,,,1,,,
his parents did not buy him what he wanted,,,,,1,,,
he was mad,,,,1,,,,
he got a nasty taste in his mouth while drinking spoiled milk,,,,,,,,1
his grandmother just died,,,,,1,,,
he was deep in thought,,,,,,1,,
he saw stray kitten mewing,,,,,,,,1
he was upset,,,,1,,,,
was sad,,,,1,,,,
he was disappointed in the game results,,,,1,,,,
he was sad,,,,1,,,,
he realized they couldnt understand his point of view,,,,,,1,,
his pie was wet,,,,,,,,1
he lost his job to outsourcing,,,,,1,,,
he was angry,,,,1,,,,
he was thinking,,,,,,1,,
he was bored,,,,,,1,,
his son fell and scraped his knee,,,,,,,,1
he forgot what he was thinking about,,,,,,,,1
he had been upset by her far too many times,,,,,,,,1
he didnt like the daily special,,,,,,1,,
he was sad,,,,1,,,,
he saw a sad child,,,,,1,,,
he was sad,,,,1,,,,
he needed a break,,,,,,1,,
he was tired,,,,,,,1,
he had a stressful week,,,,,,1,,
he just got home from work,,,,,,,,1
he got high as a kite,,,,,,,,1
he deserved a break from the stress of his everyday life,,,,,,,,1
he had the day off,,,,,,,,1
he felt comfortable,,,,,,1,,
he had the day off,,,,,,,,1
he was tired,,,,,,,1,
he arrived back home,,,,,,,,1
he was done with work,,,,,,,,1
he was high,,,,,,,,1
he was comfortable,,,,,,1,,
he was reading a book,,,,,,,,1
he was at ease,,,,,,1,,
the job was finished,,,,,,,,1
he finished his studying,,,,,,,,1
happy,,,,1,,,,
it was the end of the day,,,,,,,,1
the test was over,,,,,,,,1
he was tired,,,,,,,1,
he was so tired,,,,,,,1,
he was tired,,,,,,,1,
the day was over,,,,,,,,1
the cop put away his gun,,,,,,,,1
his bonus came in,,,,,1,,,
he no longer had to worry about student loan debt,,,,,,,,1
he had a busy day,,,,,,,,1
he was tired,,,,,,,1,
it was weekend,,,,,,,,1
he was tired,,,,,,,1,
it was sunday,,,,,,,,1
all his work was done,,,,,,,,1
he needed rest,,,,,,,1,
he just got home from work and wants to unwind,,,,,,1,,
he was content,,,,1,,,,
the patriots regained the lead,,,,,,,,1
because he was off work,,,,,,,,1
he was finally finished with his course,,,,,,,,1
he was stoned,,,,,,,1,
his work day was finished,,,,,,,,1
he just got off of work,,,,,,,,1
it was end of the day at work,,,,,,,,1
his day was over,,,,,,,,1
he had sex,,,,,,,1,
he was on a cruise,,,,,,,,1
he was busy all day,,,,,,,,1
he was finished,,,,,,,,1
he was done with work,,,,,,,,1
he was off of work,,,,,,,,1
he had a long day of work that was now finally over,,,,,,1,,
he had finished the task,,,,,,,,1
he had a hard work day,,,,,,,,1
his work for the day was done,,,,,,,,1
he was just chillin,,,,,,,,1
he worked hard that day,,,,,,,,1
he had been working,,,,,,,,1
he was bored,,,,,,1,,
his work day was done,,,,,,,,1
he had a very hectic day,,,,,,,,1
he was home,,,,,,,,1
he had a long day,,,,,,,,1
he was finally done working for the da,,,,,,,,1
a hard days work is complete,,,,,,1,,
he was off for the day,,,,,,,,1
his work for the day was done,,,,,,,,1
he had had a long day,,,,,,,,1
he was off work,,,,,,,,1
he was done for the day,,,,,,,,1
he was at peace,,,,,,1,,
he was done with work all day,,,,,,,,1
he was done working,,,,,,,,1
he was content,,,,1,,,,
he was exhausted,,,,,,,1,
he was sitting in a nice chair,,,,,,,,1
he felt good about the presentation he made,,,,,,1,,
he finally completed his work assignment,,,,,,,,1
he had just got off work,,,,,,,,1
he needed a mental break,,,,,,1,,
he got off of work,,,,,,,,1
he had worked hard,,,,,,1,,
it was his day off,,,,,,,,1
they told him he was fine,,,,,,,,1
he was concluded,,,,,,,,1
the day was over,,,,,,,,1
he felt he deserved it,,,,,,,,1
the worst part was over,,,,,,,,1
the day was over,,,,,,,,1
he was high as a kite,,,,,,,,1
he wason vacation,,,,,,,,1
he wanted to,,,,,,1,,
he was happy,,,,1,,,,
his work was finished,,,,,,,,1
he had a beer in hand,,,,,,,,1
he was at home,,,,,,,,1
he had just come home from a hard days work,,,,,,,,1
he was finally home,,,,,,,,1
he was on break,,,,,,,,1
he had a hard day,,,,,,1,,
he was feeling tired,,,,,,,1,
he was tired,,,,,,,1,
he was tired,,,,,,,1,
his ankle hurt,,,,,,,1,
his feet hurt,,,,,,,1,
he had worked a long day,,,,,,,1,
his feet hurt,,,,,,,1,
he was tired,,,,,,,1,
he was tired,,,,,,,1,
he was tired of standing,,,,,,,1,
he is tired,,,,,,,1,
she was dizzy,,,,,,,1,
his legs were nowhere to be found,,,,,,,,1
he was tired,,,,,,,1,
he was tired of standing,,,,,,,1,
he was tired,,,,,,,1,
he was tired,,,,,,,1,
he was tired,,,,,,,1,
tired,,,,,,,1,
he was tired,,,,,,,1,
he was tired,,,,,,,1,
he was tired,,,,,,,1,
he was exhasted,,,,,,,1,
he was worn out,,,,,,,1,
his feet were tired,,,,,,,1,
his feet hurt,,,,,,,1,
his feet were tired,,,,,,,1,
he had just received lifechanging news,,,,,1,,,
dinner was ready,,,,,,,,1
he was tired,,,,,,,1,
he needed to write,,,,,,1,,
he was tired,,,,,,,1,
he was dizzy,,,,,,,1,
his legs were tired,,,,,,,1,
he was tired of standing,,,,,,,1,
he was tired,,,,,,,1,
he was tired,,,,,,,1,
he had to confer with his clients,,,,,,1,,
because he was tired,,,,,,,1,
he was tired from working all day,,,,,,,1,
he wanted to use the computer,,,,,,1,,
he had been on his feet all day,,,,,,,,1
he was tired from a long day of hiking,,,,,,,1,
he had to fill out some paperwork,,,,,,1,,
his back hurt,,,,,,,1,
he was tired,,,,,,,1,
he was taking a break,,,,,,,,1
he was standing all day,,,,,,,,1
he was tired,,,,,,,1,
he was tired,,,,,,,1,
he was tired,,,,,,,1,
he was going to eat,,,,,,,,1
everyone else in the auditorium sat down,,,,,,,,1
he wanted to take a break,,,,,,1,,
he needed to rest his feet,,,,,,,1,
he was tired,,,,,,,1,
he was tired,,,,,,,1,
the task required him to,,,,,,,,1
he was tired,,,,,,,1,
he was ready to relax,,,,,,,1,
he was weary after a long days work,,,,,,,1,
he was tired,,,,,,,1,
he had been standing for too long and felt faint,,,,,,,1,
he was tired of walking in the mall,,,,,,,1,
he feet are tired,,,,,,,1,
he was tired,,,,,,,1,
his legs were getting tired,,,,,,,1,
he was tired after a long day at work,,,,,,,1,
he was tired,,,,,,,1,
he was tired,,,,,,,1,
he was waiting on a friend,,,,,,,,1
he was tired,,,,,,,1,
he was tired,,,,,,,1,
he was tired,,,,,,,1,
he was tired,,,,,,,1,
he was tired,,,,,,,1,
he was tired,,,,,,,1,
he felt tired standing up,,,,,,,1,
he was tired,,,,,,,1,
his legs were tired from hiking all weekend,,,,,,,1,
he was tired,,,,,,,1,
he was tired,,,,,,,1,
his feet hurt,,,,,,,1,
he was tired,,,,,,,1,
he was tired,,,,,,,1,
he was tired,,,,,,,1,
he was exhausted,,,,,,,1,
his back hurt,,,,,,,1,
his feet were tired,,,,,,,1,
standing was no longer an option,,,,,,,,1
his leg hurt,,,,,,,1,
he was tired,,,,,,,1,
he wanted to,,,,,,1,,
he needed to take off his shoes,,,,,,1,,
he was ready to eat dinner,,,,,,1,,
his legs hurt,,,,,,,1,
he was tired,,,,,,,1,
he was tired,,,,,,,1,
he was tired,,,,,,,1,
he was tired,,,,,,,1,
he was annoyed,,,,1,,,,
he was bored,,,,,,1,,
his phone fell in the toilet,,,,,,,,1
his team lost,,,,,1,,,
he was tired,,,,,,,1,
he was frustrated with alice,,,,1,,,,
he was tired of explaining the same thing over and over again,,,,,,1,,
he was annoyed,,,,1,,,,
he was bored,,,,,,1,,
he was annoyed,,,,1,,,,
he has to put up with clients,,,,,,,,1
she was tired,,,,,,,1,
he was bored,,,,,,1,,
he was frustrated,,,,1,,,,
he had too much homework,,,,,,,,1
he was bored,,,,,,1,,
he was frustrated by something his girlfriend did,,,,1,,,,
he failed his exam,,,,,1,,,
frustarted,,,,1,,,,
he was content,,,,1,,,,
the conversation was tiring,,,,,,,1,
he was frustrated,,,,1,,,,
he was frustraited,,,,1,,,,
he was upset,,,,1,,,,
he was bored,,,,,,1,,
he didnt think the joke was funny,,,,,,1,,
hes tired of your crap,,,,,,1,,
someone was not listening to him,,,,,,,,1
he was frustrated,,,,1,,,,
he was frustrated,,,,1,,,,
he felt helpless,,,,,,1,,
he was bored,,,,,,1,,
he was sad,,,,1,,,,
he was melancholy,,,,1,,,,
he was fed up,,,,1,,,,
it was going to be another one of those days,,,,,,,,1
he was lonely,,,,1,,,,
steve beat him once again at fantasy football,,,,,1,,,
because he was mad,,,,1,,,,
he wanted to be somewhere else,,,,,,1,,
he was relieved,,,,1,,,,
he was frustrated,,,,1,,,,
he was bored,,,,,,1,,
he didnt turn in his homework,,,,,,,,1
he was stressed out,,,,,,1,,
he was annoyed,,,,1,,,,
he was tired,,,,,,,1,
he was upset,,,,1,,,,
he got away with it,,,,,,,,1
he was upset,,,,1,,,,
he was lonely,,,,1,,,,
someone just said something stupid which lacked understanding of basic knowledge,,,,,,,,1
he was thinking,,,,,,1,,
he didnt want to go to work,,,,,,1,,
he was disappointed,,,,1,,,,
he was overwhelmed,,,,,,1,,
was upset,,,,1,,,,
he felt disappointed,,,,1,,,,
he was frustrated,,,,1,,,,
he was bored,,,,,,1,,
he was some what exasperated,,,,1,,,,
he was tired,,,,,,,1,
he wanted to rest but he still had a lot of work to do,,,,,,1,,
joy was late again,,,,,,,,1
his coworkers are doing a poor job,,,,,,,,1
he was depressed,,,,1,,,,
because he was bored,,,,,,1,,
he disappointed at something,,,,1,,,,
he was upset,,,,1,,,,
he was feeling upset,,,,1,,,,
he was frustrated,,,,1,,,,
he lost his wallet,,,,,1,,,
he was annoyed,,,,1,,,,
he was relieved,,,,1,,,,
he was nervous,,,,1,,,,
it was still hours before lunch,,,,,,,,1
he didnt understand how peopel could be so careless,,,,,,1,,
he felt a little hopeless,,,,,,1,,
he felt frustrated,,,,1,,,,
he was growing board of the rabbis dull sermon,,,,,,1,,
his manager walked into the room,,,,,,,,1
he heard a bad joke,,,,,,,,1
he was relieved,,,,,,1,,
he was frustrated,,,,1,,,,
he was unsure,,,,,,1,,
it had been a long day,,,,,,,,1
he felt defeated,,,,,,1,,
he was exasperated with the toddler,,,,1,,,,
the day was exhausting,,,,,,,1,
life was being repetitive,,,,,,,,1
he was relieved,,,,1,,,,
he was warm and cozy,,,,,,,1,
she was tired,,,,,,,1,
they lost the game,,,,,1,,,
he was tired,,,,,,,1,
he was tired of her excuses,,,,,,1,,
he knew this was just one more problem hed have to deal with,,,,,,1,,
he was annoyed,,,,1,,,,
he had to stay in traffic,,,,,,,,1
he was content,,,,1,,,,
he couldnt stand life,,,,,,1,,
he was depressed,,,,1,,,,
he was depressed,,,,1,,,,
he had depression,,,,1,,,,
he could no longer feel happy in this world,,,,,,1,,
no one reached out to help him when he showed signs of depression,,,,,,,,1
he thought there was no other way to deal with his problems,,,,,,1,,
there was nothing left to live for,,,,,,1,,
he was depressed,,,,1,,,,
he was suicidal,,,,,,1,,
he lost the love of his life,,,,,1,,,
he was depressed,,,,1,,,,
he spent too much time on 4chan,,,,,,,,1
he was depressed,,,,1,,,,
he was weak,,,,,,,1,
he was depressed,,,,1,,,,
he was depressed,,,,1,,,,
of bullying,,,,,,,,1
sad,,,,1,,,,
he felt hopeless,,,,,,1,,
he was depressed,,,,1,,,,
he was depressed,,,,1,,,,
he couldnt deal with the pain,,,,,,1,,
he was depressed,,,,1,,,,
he was depressed,,,,1,,,,
he hated his life,,,,,,1,,
he was an alcoholic and his family was being torn apart,,,,,,,,1
no one gave him the support and mental health resources that he needed,,,,,,,,1
he couldnt handle the pressures of everyday life,,,,,,1,,
he was an idiot,,,,,,,,1
he could not cope anymore,,,,,,1,,
he was fed up,,,,1,,,,
he was depressed,,,,1,,,,
he was depressed,,,,1,,,,
he did not want to live anymore,,,,,,1,,
his wife left him,,,,,1,,,
he was depressed,,,,1,,,,
he couldnt see anything but darkness ahead,,,,,,,,1
because he was upset,,,,1,,,,
he couldnt see a way out,,,,,,1,,
he was depressed,,,,1,,,,
because he suffered from depression,,,,,,,,1
he couldnt find a better solution,,,,,,1,,
he felt sad and alone,,,,1,,,,
his parents died in an accident,,,,,1,,,
he had depression,,,,,,,,1
he was suicidal,,,,,,1,,
he was suicidal,,,,,,1,,
he was sad,,,,1,,,,
he was depressed,,,,1,,,,
he had cancer,,,,,,,,1
he lost his job,,,,,1,,,
he was in pain from cancer,,,,,,,1,
he didnt enjoy life,,,,,,1,,
he couldnt stand living in constant pain anymore,,,,,,,1,
he sucked,,,,,,,,1
his life was pointless,,,,,,1,,
he felt isolated,,,,,,1,,
he was in pain,,,,,,,1,
he was depressed,,,,1,,,,
he was severely depressed,,,,1,,,,
he was deeply depressed,,,,1,,,,
he was very depressed and things had seemed hopeless,,,,1,,,,
he felt there was nothing to live for,,,,,,1,,
he had nothing to live for,,,,,,1,,
he was depressed,,,,1,,,,
he didnnhe didnt get a new playstation,,,,,,,,1
he was suicidal,,,,,,1,,
he was depressed,,,,1,,,,
life sucks,,,,,,,,1
he was a depressed person,,,,,,,,1
he had a terminal illness,,,,,,,,1
he was sad,,,,1,,,,
he was sad,,,,1,,,,
his wife left him,,,,,1,,,
he felt too much pain,,,,,,,1,
he felt no one cared,,,,,,1,,
he did not enjoy life anymore,,,,,,1,,
his girlfriend left him,,,,,1,,,
he lost everything in the stock market and was embarrassed,,,,1,,,,
life no longer had meaning and his was purposeless,,,,,,1,,
he was ill,,,,,,,1,
was depressed,,,,1,,,,
he was depressed,,,,1,,,,
he was unhappy,,,,1,,,,
the he felt he could no longer go on,,,,,,1,,
he didnt think there was any better solution,,,,,,1,,
his wife left him for another woman,,,,,1,,,
he was angry,,,,1,,,,
he listened to too many emo cds,,,,,,,,1
he was depressed,,,,1,,,,
he was stupid,,,,,,,,1
he was depresssed,,,,1,,,,
he couldnt take the pressures of life anymore,,,,,,1,,
he had taken too many drugs,,,,,,,,1
he was depressed,,,,1,,,,
he couldnt stand the public scrutiny for what he had done,,,,,,1,,
he was taking rx psych drugs that caused him to do it,,,,,,,,1
he was depressed,,,,1,,,,
he was depressed,,,,1,,,,
he was angry,,,,1,,,,
he was angry,,,,1,,,,
he had anger issues,,,,,,,,1
he was angry at his wife,,,,1,,,,
he was on steroids,,,,,,,,1
he lost control of his temper,,,,1,,,,
he couldnt deal with his anger,,,,,,1,,
he was angry,,,,1,,,,
he was angry,,,,1,,,,
he was angry,,,,1,,,,
he had to let off some steam,,,,,,1,,
he was angry,,,,1,,,,
why not,,,,,,,,1
he was angry,,,,1,,,,
he has no willpower,,,,,,,,1
he was angry,,,,1,,,,
lisa made him so mad,,,,,1,,,
he lost a huge bet,,,,,1,,,
angry,,,,1,,,,
he was angry,,,,1,,,,
he was angry,,,,1,,,,
he was angry,,,,1,,,,
he was angry,,,,1,,,,
he was mad,,,,1,,,,
he was,,,,,,,,1
he was angry,,,,1,,,,
his cat peed on his trousers,,,,,,,,1
he just found out he did not get the promotion,,,,,1,,,
he does not know how to control his anger,,,,,,1,,
he was mad,,,,1,,,,
he was angry about work,,,,1,,,,
he was mad,,,,1,,,,
he was upser,,,,1,,,,
he was mad,,,,1,,,,
he was upset about something,,,,1,,,,
he was angry at himself,,,,1,,,,
he was angry,,,,1,,,,
he lost his self control,,,,,1,,,
because he was mad,,,,1,,,,
he was at his limit,,,,,,1,,
he was angry,,,,1,,,,
he didnt want to take his anger out on a person,,,,,,1,,
he was mad,,,,1,,,,
he was upset with his best friend and girlfriend,,,,1,,,,
his girlfriend cheated on him,,,,,1,,,
he was angry,,,,1,,,,
he was furious,,,,1,,,,
he was angry,,,,1,,,,
he was mad,,,,1,,,,
he was mad,,,,1,,,,
he was angry,,,,1,,,,
he was mad,,,,1,,,,
he was frustrated,,,,1,,,,
he was mad at his professor,,,,1,,,,
he was angry and out of control,,,,1,,,,
he was mad,,,,1,,,,
was upset,,,,1,,,,
he was angry,,,,1,,,,
he was angry,,,,1,,,,
he was angry,,,,1,,,,
he was angry,,,,1,,,,
he was angry,,,,1,,,,
he knew that his coworker getting the promotion was unfair,,,,,,1,,
he was mad at his roommate,,,,1,,,,
he is extremely mad about work,,,,1,,,,
he was angry,,,,1,,,,
he was mad,,,,1,,,,
he was angry at himself,,,,1,,,,
he was angry,,,,1,,,,
he was angry,,,,1,,,,
of a tense situation,,,,,,,,1
he was mad that he lost the game,,,,1,,,,
he was mad,,,,1,,,,
he was mad,,,,1,,,,
he was mad,,,,1,,,,
he was hallucinating,,,,,,1,,
he was angry,,,,1,,,,
he was so mad at his girlfriend,,,,1,,,,
he got upset from losing the game,,,,1,,,,
he was so angry at his wife,,,,1,,,,
he was angry,,,,1,,,,
he was frustrated,,,,1,,,,
he was angry,,,,1,,,,
he was angry,,,,1,,,,
he was upset,,,,1,,,,
he was angry,,,,1,,,,
somebody just told him bad news,,,,,1,,,
he was angry,,,,1,,,,
he was mad at himself,,,,1,,,,
the wall said something negative about his birth mother,,,,,1,,,
he was angry,,,,1,,,,
he was mad,,,,1,,,,
he was angry,,,,1,,,,
he lost his temper,,,,1,,,,
his girlfriend broke up with him,,,,,1,,,
he was sick of life,,,,,,1,,
it isnt socially acceptable to punch your wife,,,,,,,,1
he was furious,,,,1,,,,
he was enraged,,,,1,,,,
he was angry,,,,1,,,,
