workerid,gender,nativeLanguage,exampleCounterfactual,emotionID.1,emotionID.2,emotionID.3,emotionID.4,emotionID.5,emotion.1,emotion.2,emotion.3,emotion.4,emotion.5,order.1,order.2,order.3,order.4,order.5,freeResponseHappy.1,freeResponseHappy.2,freeResponseHappy.3,freeResponseHappy.4,freeResponseHappy.5,freeResponseCalm.1,freeResponseCalm.2,freeResponseCalm.3,freeResponseCalm.4,freeResponseCalm.5,freeResponseSad.1,freeResponseSad.2,freeResponseSad.3,freeResponseSad.4,freeResponseSad.5,freeResponseAngry.1,freeResponseAngry.2,freeResponseAngry.3,freeResponseAngry.4,freeResponseAngry.5,freeResponseSurprised.1,freeResponseSurprised.2,freeResponseSurprised.3,freeResponseSurprised.4,freeResponseSurprised.5,counterfactualHappy.1,counterfactualHappy.2,counterfactualHappy.3,counterfactualHappy.4,counterfactualHappy.5,counterfactualCalm.1,counterfactualCalm.2,counterfactualCalm.3,counterfactualCalm.4,counterfactualCalm.5,counterfactualSad.1,counterfactualSad.2,counterfactualSad.3,counterfactualSad.4,counterfactualSad.5,counterfactualAngry.1,counterfactualAngry.2,counterfactualAngry.3,counterfactualAngry.4,counterfactualAngry.5,counterfactualSurprised.1,counterfactualSurprised.2,counterfactualSurprised.3,counterfactualSurprised.4,counterfactualSurprised.5,reactionTime.1,reactionTime.2,reactionTime.3,reactionTime.4,reactionTime.5,reactionTime.6,reactionTime.7,reactionTime.8,reactionTime.9,reactionTime.10
49,M,english,6,5,4,1,3,2,surprised,angry,happy,sad,calm,4,3,0,2,1,kissed her,ate a whole,invited his friends,made a party,is smiling ,did well on the exam,felt less stress,went for a walk,yelled less at his girlfriend ,ate slowly,cried,didn't eat,slept early,came late,called his mom,hit his brother,canceled the party,stopped working,didn't finish his dinner,turned red,spilled his drink,blushed,dropped his keys,kissed his wife,sat down,3,2,2,3,3,2,2,5,3,2,2,2,6,6,2,1,2,2,2,2,4,3,4,6,3,82656,86112,49276,36008,103440,76315,32687,29135,52440,30311
50,M,English,2,3,5,4,2,1,sad,surprised,angry,calm,happy,2,4,3,1,0,played musci,watched tv,eat food,went to the bar,walked home,slept,eat food,danced,called me,left,laughed,cried,danced,emblished,drove,shouted,screamed,left,departed,screamed,danced,partied,shouted,jumped,ran far,6,2,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,29740,39206,42777,71081,22712,22339,17163,20794,22464,27621
51,F,English,4,5,4,2,1,3,surprised,angry,calm,happy,sad,4,3,1,0,2,jumped for joy,baked a cake for them,danced around in circles,gave away money,bought a gift for himself,gave the woman,fell asleep quickly,smoked a cigar,drove happily,bought extra doughnuts,went to his room,needed a hug,disappeared in the dark,drove back home,missed more of his friend,cursed at his friend,counted to ten,didn't apologized,talked to his friend,cried to his mom,screamed out,cried big tears,smiled with his bright smile,jumped sky high,ran away from the noise,1,5,1,3,4,5,6,7,6,5,7,5,3,7,6,5,3,5,7,2,1,4,5,1,4,61557,73733,62282,37374,38823,43271,79686,30875,36931,130462
52,F,English,2,5,4,2,1,3,surprised,angry,calm,happy,sad,4,3,1,0,2,laughed ,cried,jumped,sings,danced,smiled,sits in the chair,nodded his head,slept in his bed,ate crackers,cried,calls his mother,walked away,act unusual ,got drunk ,shouted,cried,stared ,punched ,kicked,shouted,jumped,cried,smiled,laughed ,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,2,2,2,2,1,1,4,5,4,170911,87489,208253,41732,142892,47012,62204,36526,41847,41423
53,M,English,1,5,3,4,1,2,surprised,sad,angry,happy,calm,4,2,3,0,1,smoked marijuana,got promoted at work,voted Republican,ate mushrooms,made fun of a transgender person,did well on his test,got promoted,fell asleep,put up with whiny liberals,passed his classes,cried himself to sleep,killed himself,took medication,smoked crack,shot heroin,punched a wall,threw a chair,meditated,voted for Trump,whined on tumbler,defecated in his pants,cried like a little girl,wet himself,cried himself to sleep,converted to Islam,7,4,7,3,7,3,4,2,1,4,1,1,1,4,3,1,1,2,7,7,3,5,2,4,1,69886,48008,62364,56775,60710,27502,27931,23722,22743,26089
54,M,English,1,5,3,1,2,4,surprised,sad,happy,calm,angry,4,2,0,1,3,jumped for joy,ate pizza,ate ice cream,hugged his friend,smiled,sat down,meditated,slept,relaxed,thought about waterfalls,cried,sobbed,curled up on the ground,hugged his mother,ate potato chips,yelled,punched a stranger,frowned,screamed,stomped his feet,stood up,ran outside,screamed loudly,became excited and alert,'s eyes became wide,1,4,4,4,2,4,2,2,3,4,1,1,2,3,4,2,1,2,2,1,3,4,2,2,2,74557,31831,27877,37907,18612,18964,22178,22148,16346,16562
55,M,english,2,5,3,4,1,2,surprised,sad,angry,happy,calm,4,2,3,0,1,had a raise,had just eaten,was smiling,was laughing,was eating,was relaxed,was sleeping,was sitting down,was on the bed,was on the couch,was crying,was asleep,was hungry,had a long face,was laughing,was mad,was punching the wall,was jumping ,was pulling his hair,was having a fit,was crazy,was sleepy,was scared,was laughing,was crying,3,6,5,4,2,6,5,6,2,6,6,3,6,5,5,6,5,7,6,3,3,5,6,4,3,67866,48189,86127,77367,31287,8365,10346,13202,9506,10842
56,F,English,3,2,5,1,3,4,calm,surprised,happy,sad,angry,1,4,0,2,3,cheered,relaxed,smiled,sang,helped,smiled,slept,stayed,helped,didn't cry,cried,slept,worried,frowned,complained,yelled,screamed,cried,complained,fought,smiled,laughed,screamed,fell,jumped,3,6,6,4,6,7,6,5,5,7,1,4,2,1,3,1,1,1,1,1,6,6,1,1,2,81518,34811,76966,30349,46684,48550,50309,68019,22660,21918
57,M,English,6,3,5,4,2,1,sad,surprised,angry,calm,happy,2,4,3,1,0,jumps high in the air,gives his money away,eats more today,runs around the school,stops crying,sits around,decides not to join,looks around,does not move,lurks around,is crying today,did not come to class,goes home,is not eating,stops coming to our meeting,frowns,stops moving,pushes the books away,does not want to go to school,is sad,jumps up and down,runs around the room,laughs out loud,has a big smile on his face,starts running,7,4,7,7,4,5,3,5,3,6,3,7,6,6,6,6,6,3,5,6,6,7,7,7,5,97635,120484,46007,39231,112738,81454,28684,22157,79294,42310
58,M,English ,3,5,3,1,2,4,surprised,sad,happy,calm,angry,4,2,0,1,3,went to the gym,laughed,smiled,called his friends,bought a round of drinks,didn't move,survived the tornado,hushed his children,succeeded in his career,drove the speed limit ,ate excessively,went to his psychologist ,laid in bed ,didn't go to work,avoided hanging out with his friends ,threw something ,screamed at his mom ,broke something,drove recklessly,hung up on his friend ,jumped out of his chair ,dropped his dinner,screamed very loudly,fell down ,collapsed,6,3,2,3,3,4,3,3,4,4,3,4,2,2,2,1,1,1,1,1,2,2,2,2,2,43890,40879,30757,36985,29308,19792,14161,18649,17316,13061
59,M,Enlish,4,3,4,2,5,1,sad,angry,calm,surprised,happy,2,3,1,4,0,is joyful,is cheerful\nis cheerful,is delighted,is pleased,is overjoyed,is relaxed,is understanding,is helpful,is peaceful,is serene,cryed,is unhappy,was depressed,is gloomy ,was down,is offened,is outraged,is furious,is irritated,is annoyed,is amazed,is startled,is stunned,is shocked,is caught of guard,6,6,6,6,6,7,6,5,5,5,4,4,4,4,4,4,4,4,5,5,5,6,5,6,6,209344,184716,140435,265930,80005,33729,14391,19145,13402,11408
60,F,English,2,3,5,2,1,4,sad,surprised,calm,happy,angry,2,4,1,0,3,was cheerful,was friendly,was having a great time,was more productive,was more optimistic,was quiet,was content,was in a good mood,was pleasant,was friendly,did not want to go a party,wanted to sit in the dark,was crying,did not want to talk on the phone,wanted to be alone,was discouraged,was yelling,was emotional,was in a bad mood,was disagreeable,was smiling,was unhappy ,was aghast,was speechless,was uncertain,1,3,3,3,2,4,2,2,3,3,6,2,2,6,2,2,1,3,2,2,5,4,3,2,2,99854,113285,75528,91106,46765,59632,59376,108775,94467,72343
61,M,English,1,3,5,2,1,4,sad,surprised,calm,happy,angry,2,4,1,0,3,danced,called his friend,bought his friend a gift,helped someone out,smiled,fell asleep,was relaxed,smiled,was happy,was bored,ate ice cream,walked along the beach,called some friends,played some video games,watched some movies,yelled,threw stuff,drove away,hit things,was arrested,laughed,yelled,jumped,gasped,fainted,2,4,4,4,3,3,2,4,4,4,5,5,4,5,4,2,1,4,1,2,4,2,2,2,1,45339,29587,84028,41139,52446,27703,23688,39820,21812,19745
62,M,English,2,4,1,5,3,2,angry,happy,surprised,sad,calm,3,0,4,2,1,donated an extra dollar to charity,skipped to his car,bought his coworkers donuts,sang in the shower,jumped up and down,meditated,had a yoga session,closed his eyes quietly,took in deep breaths of air,went for a peaceful drive,began to cry,moped alone in his room,went for a drive,went to the beach and stared at the ocean,began to overeat junk food,punched a hole in the wall,began to drive aggressively,yelled at his wife,pounded the table,kicked the door closed,let out a yelp,jumped,ran away,broke down and cried,started hyperventilating,7,1,5,2,1,5,6,1,5,3,1,3,7,5,6,1,6,1,3,1,1,7,2,5,4,65021,50463,80807,43999,90448,44946,26621,30863,25383,22214
63,F,english,2,3,5,4,2,1,sad,surprised,angry,calm,happy,2,4,3,1,0,smiled,hugged everyone,danced,celebrated,exercised,rested,watched tv,enjoyed his hobby,played his guitar,slept,cried,became less involved in his work,ignored his obligations,hit things,talked to a counselor,hit someone,stomped around,thought about revenge,drank alcohol,yelled at someone,gasped,jumped,hit something,was startled,yelled,7,3,4,3,4,5,6,5,6,5,1,2,1,3,1,4,3,3,5,5,1,1,3,2,3,92294,32536,54614,47782,68532,32489,25813,21701,21916,29466
64,F,English,2,5,3,1,2,4,surprised,sad,happy,calm,angry,4,2,0,1,3,squealed,jumped,cried,giggled,smiled,slept,day dreamed,read,relaxed,zoned out,cried,sobbed,whined,yelled,slumped,screamed,yelled,kicked,punched,cried,screamed,laughed,cried,jumped,danced,4,6,4,5,7,7,5,4,6,5,3,2,5,2,4,4,5,1,1,4,3,5,4,5,5,23497,713854,16940,44735,30951,51139,15978,35120,13634,24510
65,F,English,1,4,3,1,5,2,angry,sad,happy,surprised,calm,3,2,0,4,1,smiled,laughed,gave a high five,grinned,gave out cigars,did nothing,whistled,smiled,sang a song,prayed,lowered his head,looked away,cried softly,was very quiet,made jokes,yelled,got very quiet,cursed,left the room,refused to speak,jumped ,yelled,cursed,laughed,slipped,3,4,1,1,1,4,6,6,6,7,5,5,1,5,5,1,4,2,1,4,1,1,4,4,1,94960,82070,81807,112655,48999,87237,51623,94292,56037,57461
66,F,English,1,2,4,1,3,5,calm,angry,happy,sad,surprised,1,3,0,2,4,bought his wife some flowers,kissed his dog and took him to the park,treated his co-workers to lunch,smiled and laughed at his son's jokes,went to a movie with a friend,slowly ate a complete breakfast,drove at a steady pace; just under the speed limit,made reasonable decisions regarding his future employment,did not feel like he needed any alcohol when he got home from work,paid a lot of attention to his dog and took him for a walk,sat by himself and cried,couldn't eat his lunch,didn't feel like going out,stayed in bed all day,called a friend to talk,punched a hole in the drywall,yelled at a co-worker at work,turned red in the face and frowned,couldn't even think straight,drove like a maniac through a school zone,jumped up and yelled out,opened his eyes and mouth wide,backed away and ran ,stood fixed in place,couldn't believe his eyes ,3,5,2,6,4,1,4,5,5,6,1,1,2,1,4,1,2,1,3,2,1,1,1,2,1,117170,114466,89018,71714,71298,36845,26334,25614,29938,24119
67,M,English,1,5,3,4,1,2,surprised,sad,angry,happy,calm,4,2,3,0,1,went to the zoo,bought a new CD,went to the movies,called up John,went to the store,sat down,went for a walk,went to the gym,finished his work,went to sleep, cried,yelled,became angry,committed suicide,went home,hit bob,kicked his dog,yelled at his wife,yelled at his daughter,quit his job,pooped his pants,laughed out loud,peed his pants,screamed,jumped away,2,4,4,4,4,5,5,4,4,6,1,2,3,1,3,1,1,3,4,1,1,1,1,1,1,34722,24669,28222,40453,27117,22357,18002,13988,15114,15104
68,M,English,2,2,5,4,1,3,calm,surprised,angry,happy,sad,1,4,3,0,2,gave his mother a hug,spent time with his young son,adopted an animal,took a walk outside in the sunshine,played music loudly,took a relaxing nap,studied his favorite painting,took a walk through the park,swam in the lake,played his clarinet,reflected somberly his life's patterns\n,drank another whiskey,decided to go to sleep,cried,forgot to eat,punched the wall,shouted loud curses,scoffed at his friends remarks,kicked up dirt on the ground,spat on the floor,jumped in the air,choked on his sandwich,felt cold sweats,felt his blood pressure rising,hid away in a closet,5,6,2,1,4,4,6,6,2,3,1,4,6,1,2,1,1,4,3,1,1,4,2,1,1,29267,39209,36212,44300,53271,23737,21933,14557,20079,19084
69,F,English,1,4,5,1,2,3,angry,surprised,happy,calm,sad,3,4,0,1,2,laughed,smiled,cried,skipped,jumped up and down,laid down,relaxed,smiled,sat down,settled down,cried,frowned,pouted,hid away,turned away,screamed,threw his phone,stamped his foot,pouted,walked away,gasped,jumped,shouted,looked up,stopped,1,1,2,1,1,3,1,3,3,1,1,3,2,2,4,1,1,1,3,1,1,2,3,6,4,34248,129638,21740,64881,33109,23774,24304,19746,23249,18254
70,M,English ,2,2,5,4,1,3,calm,surprised,angry,happy,sad,1,4,3,0,2,Had a great day;,Got his work done quickly;,Couldn't wait to start his day;,Smiled at everyone;,Was always popular;,Was relaxed,Was able to handle the crisis;,Finished his work faster;,Didn't make any mistakes;,Made both his free throws;,Was depressing to be around;, Couldn't Get out of bed,Had no appetite,Couldn't get his work done,didn't want to leave his house;,Was being a jerk;,Smacked his wife;,Rear ended the car in front of him;,Was acting like a baby;,Started a fight;,Peed his pants;,Dropped the cake;,Got into a car accident;,Couldn't decide what to do;,Shrieked like a woman;,1,1,1,1,1,5,5,1,1,3,4,1,3,2,1,4,5,2,2,1,1,1,2,1,1,126031,121740,239080,254617,160063,28129,19214,17448,12478,25589
71,M,English,2,5,4,1,3,2,surprised,angry,happy,sad,calm,4,3,0,2,1,smiled,smirked,laughed,cried,jumped,was tranquil,sat down,was at ease,smiled,daydreamed,frowned,cried,moped,acted sullen,slept,yelled,shook his fist,cursed,glared,shouted,jumped,yelled,blinked,threw his head back,farted,5,5,5,2,2,2,4,4,4,6,3,2,2,2,5,2,2,4,3,2,2,2,6,3,5,46061,19287,247473,17464,107190,44278,13880,15032,15506,16140
72,F,English,2,3,1,5,2,4,sad,happy,surprised,calm,angry,2,0,4,1,3,went shopping for a new video game,asked his friend Jessica on a date,invited his friend Tim over to watch football,wrote a check to his favorite charity,opened the door for Christina,sat and watched the birds outside the window,listened to some jazz music,sipped on his hot coffee,smiled contentedly,decided to work on his garden,went to sleep,ate ice cream,cried,took a walk at the park,called his mother,threw the book down,drove away dangerously,hit the wall,screamed at Mary,pulled at his hair,jumped back from the pile of leaves,laughed and hugged his friends,covered his mouth with his hands,opened his eyes wide and leaned in,felt his heart race,2,3,5,2,5,4,4,4,2,4,5,3,2,4,2,1,1,1,1,1,1,2,1,1,2,54687,87637,105138,81648,36662,37507,32953,20626,26023,10447
73,F,English,3,2,3,4,5,1,calm,sad,angry,surprised,happy,1,2,3,4,0,smiled,laughed,gave a hug,clapped his hands,skipped around ,sat outside in the sun ,took a nap,talked softly,went to yoga class,meditated,cried,went to bed ,called his wife,went for a walk,gave a hug,yelled ,stormed out of the house,paced the hallway,went for a walk,took deep breaths,screamed,laughed ,smiled,ran away,looked startled,3,2,4,2,2,1,4,5,5,1,2,6,6,3,3,2,1,2,3,2,1,6,6,1,1,207970,98835,93052,102238,68337,33792,40247,26979,24780,24579
74,F,English,5,2,4,5,3,1,calm,angry,surprised,sad,happy,1,3,4,2,0,Exclaimed,Had a drink,Laughed ,Was friendly to everyone ,Had fun,Handled the situation well,Relaxed by the pool,Decided to go for a walk,Had a great time,Enjoyed his day,Went for a walk,Talked to his mom,Hugged his kids ,Cried ,Took a trip,Yelled at his wife ,Smacked his dog,Was mean to his kids,Left in a hurry,Tried to calm down,Laughed ,Didn't know what to do,Was excited ,Shyed away from the situation,Enjoyed himself,5,6,4,6,5,2,6,7,6,5,7,7,7,5,7,4,1,2,5,5,6,5,5,5,6,63098,34869,57111,32286,33246,24160,23651,23732,17791,22021
75,M,English,2,4,3,1,5,2,angry,sad,happy,surprised,calm,3,2,0,4,1,bought a gift for his wife,smiled from ear to ear,jumped for joy,decided to go out for a drink,hugged his wife,did not react to Susan's angry outburst,breathed slowly and deeply,did not shout back,walked slowly up the aisle,remained where he was ,did not go to the party,really did not enjoy his dinner,could not focus on his homework,did not do well on the midterm,did not take care of his appearance ,left the room,hung up the phone,walked out of the store,would not call Samantha,refused to go to the party ,leaned back in his chair,stared at the burning building,checked his calculations again,paused for a moment,asked the question again,3,1,1,6,3,6,5,6,2,2,6,2,1,4,2,5,6,5,4,2,5,6,2,3,2,82672,126323,195673,113894,116281,78036,240294,47442,64046,48350
76,F,English,1,4,5,2,3,1,angry,surprised,calm,sad,happy,3,4,1,2,0,leapt,grinned,beamed,laughed,jumped up and down,relaxed,sat down,breathed deep,fell asleep,looked happy,cried,wanted comfort,played that song,collapsed,left work,stomped out,shouted,shook,slammed the door,retaliated,jumped,gasped,laughed,screamed,smiled,2,3,3,3,1,2,6,3,5,3,1,2,2,1,1,1,1,1,2,3,2,1,3,1,3,64467,57795,58871,59867,51587,30980,26287,25962,25835,25064
77,M,English,2,3,4,2,5,1,sad,angry,calm,surprised,happy,2,3,1,4,0,smiled,cried,laughed,called his mother,celebrated,laid down,smiled,watched a movie,talked with his girlfriend,played a game,cried,was quiet,played guitar,took a walk,drank,cried,screamed,punched the wall,kicked the plant,counted to ten,dropped the bag,shouted,call his girlfriend,jumped,fell,3,2,3,5,2,5,5,5,6,5,2,5,5,5,4,2,2,1,1,1,1,1,6,1,1,51063,52172,50247,46495,28256,21279,29146,17338,34394,20219
78,M,english,2,5,1,4,2,3,surprised,happy,angry,calm,sad,4,0,3,1,2,laughed ,cried ,fist pumped ,high fived ,shrieked ,slept ,read ,sighed ,painted ,wrote ,cried,went quiet,yelled ,listened to music,wrote poetry ,hit me in the face ,yelled ,turned red  ,broke a lamp ,got still and quiet ,hit me in the face ,hugged me,laughed loudly ,wept in relief ,jumped,4,3,4,4,2,7,4,5,5,5,1,3,2,3,6,2,3,2,1,4,7,3,5,3,2,63248,65479,97073,30714,149181,67396,26919,25218,18932,199523
79,F,english,1,2,5,1,3,4,calm,surprised,happy,sad,angry,1,4,0,2,3,laughed,cried,jumped up and down,spun around,yelled,took a nap,went for a walk,went on a drive,sat by the water,watched the game,cried,yelled,ran away,had a tantrum,stopped talking,stormed out,stopped talking,punched the wall,yelled,screamed,yelled,jumped up,spilled his water,fell over,cried,6,1,1,1,1,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,40626,18877,22635,15747,25129,22529,22158,19134,18643,14961
80,M,English,6,2,3,5,1,4,calm,sad,surprised,happy,angry,1,2,4,0,3,jumped,shouted,danced,rolled,went to the mall,sat quietly,got his gift,maintained a good grade at school,got a new girlfriend,won the contest,failed the exam,was not able to eat,cried,left,dances,shouted,left,destroyed the appliances,fainted,ranted,screamed,cried,clapped,jumped,shouted,5,5,4,6,5,5,5,4,5,4,5,5,5,5,6,5,4,5,4,4,5,5,4,6,4,98515,103382,60247,39015,135949,42749,38982,9837,14190,15000
81,F,english,5,3,1,4,5,2,sad,happy,angry,surprised,calm,2,0,3,4,1,smiled,laughed,shouted out loud,sang to himself,played with his dog,listened to music,went for a walk,sat down on the couch,watched TV,lounged by the pool,started to cry,gave up,went for a walk,went for a drive,did not go to school,punched the wall,kicked the table,yelled loudly,shouted at the man,drove aggressively,gasped,shouted,laughed ,didn't know what to do,exclaimed in protest,7,6,3,6,7,7,6,7,7,5,4,4,5,6,6,1,1,2,1,4,1,2,6,6,5,85387,148229,64822,205285,84350,22478,163265,29044,29677,18565
82,F,English,2,5,1,2,3,4,surprised,happy,calm,sad,angry,4,0,1,2,3,smiled,laughed,jumped,cried,threw his head back,slept,smiled,relaxed,watched a movie,was content,cried,frowned,was depressed,was quiet,slept,growled,yelled,screamed,fussed,balled his fist,laughed,smiled,jumped,yelled,opened his mouth wide,4,5,5,4,3,3,6,2,4,2,1,3,3,5,2,1,1,3,2,1,6,7,1,3,1,38717,52301,46198,80377,25932,40703,119400,40292,35026,20655
83,F,English,2,3,1,4,5,2,sad,happy,angry,surprised,calm,2,0,3,4,1,jumped in the air,smiled wide,sung a song,ran around,shopped for clothes,read a book,sat in silence,watched tv,took a bath,went to sleep,cried,wailed,frowned,screamed,sung,punched a wall,slammed a door,broke a window,yelled at his children,stomped his feet,yelled in joy,jumped a little,ran around,clutched his face,went and hid,4,4,4,4,4,5,5,3,5,4,2,2,2,2,6,5,3,5,4,3,5,5,3,5,4,35191,73007,84964,136641,87439,24386,16688,18450,38653,40218
84,M,English,1,5,4,2,1,3,surprised,angry,calm,happy,sad,4,3,1,0,2,gave his mom a gift,hugged his brother,gave his girlfriend,smiled at his coworkers,volunteered his time,could focus on the work,was able to talk to Mary,understood the situation,saw through to the end of the project,avoided the fight,slept all day,didn't talk to anyone,ignored his girlfriend,told someone to leave him alone,stayed in his house all day,wanted to cool off,slapped his wife,got into an altercation,was sent home from school,had problems communicating,forgot to take the dog out,laughed in an outburst,violently flinched,didn't expect her to be there,wanted to take a break and calm down,5,2,4,2,1,3,4,4,4,2,1,1,1,1,1,1,1,1,1,4,3,1,1,6,4,106968,72673,83909,90246,47522,42519,21187,20541,29236,13410
85,F,English,1,4,1,2,5,3,angry,happy,calm,surprised,sad,3,0,1,4,2,laughed ,smiled,jumped for joy,made a funny sound,smirked across his face ,let out a sigh,felt unsure ,choked on his drink,put his feet up,smiled,cried,fell to the ground,curled into a ball,ran away from the crowd,made a moaning sound ,yelled,threw a chair,cried,made a scene in the store ,felt hot on his face,jumped ,let his jaw drop,threw his work in the air,laughed and screamed at once,shock in fear ,7,7,7,7,6,5,4,3,6,6,5,1,2,5,1,4,1,6,1,3,4,1,1,2,1,43646,25894,30227,33221,28616,24062,14835,15803,49521,16662
86,M,English,2,2,5,1,3,4,calm,surprised,happy,sad,angry,1,4,0,2,3,sang,jumped up,smiled,laughed,gave everyone money,lowered his voice,did not yell,fell asleep,remained silent,was able to talk it over with them,cried,frowned,killed himself,yelled,got drunk,yelled,screamed,stormed out of the room,cursed,shook his head,peed in his pants,jumped,fell to the floor,gasped,had a frightened look ,6,2,6,6,2,3,7,5,5,2,2,3,1,6,7,6,2,2,5,3,1,2,2,4,3,98623,53693,40722,32479,26428,61040,37884,51806,25415,40848
87,F,English,3,5,1,4,2,3,surprised,happy,angry,calm,sad,4,0,3,1,2,smiled,had fun,laughed,told jokes,comfortable,took deep breathes,sat still,breathed slowly,slept great,to a nap,cried,yelled,swore,hugged a loved one,sat in silence,scorned,cursed,swore,punched a wall,flipped a table,stood still,spilled his drink,pooped,looked shocked,peeped,4,5,4,5,4,4,4,5,4,4,5,4,4,5,4,4,5,4,5,4,6,4,3,3,4,58922,58831,25940,59074,40549,18567,9857,9048,9584,10658
88,F,English,5,3,1,4,5,2,sad,happy,angry,surprised,calm,2,0,3,4,1,sang in the shower,danced,smiled,donated to charity,opened the windows,took deep breaths,didn't speed to work,listened ,didn't yell,sipped wine slowly,drank,cried,watched a comedy movie,ate ice cream,called in sick,screamed,didn't answer his phone,paced back and forth,punched the wall,smoked a cigarette,screamed,smiled ,jumped,laughed out loud,cried,2,6,2,2,6,4,5,6,7,4,5,4,5,5,2,2,4,2,1,1,1,3,1,1,1,67901,59804,52872,34188,63262,37716,31431,14986,17508,21418
89,M,english,1,3,4,2,5,1,sad,angry,calm,surprised,happy,2,3,1,4,0,smiled,clapped,did a jig,bought drinks,celebrated,drank the lemonade,smiled at the assistant,handed over the note,was able to control the knife,won the calmest in town contest,cried,left the room,was embarrassed ,lashed out,looked for reassurance,punched the wall,hit the attacker,took a deep breath,paid no attention,ignored the officer,laughed,did a spit take,pooped a brick,stood still,shouted,4,1,1,2,1,7,6,4,2,1,1,4,2,2,4,1,5,5,6,3,3,1,2,6,2,56138,68480,105723,83330,39329,60072,67651,60114,54308,34952
90,M,english,3,4,1,5,3,2,angry,happy,surprised,sad,calm,3,0,4,2,1,climbed out of bed,opened the curtains for the first time in a month,put away the pills,ordered pizza,remembered what it was like to smile,completed the complex surgery,was able to pour his drink,explained once again to his 3 year old,is a good husband and father,wishes he could feel something like excitement,resumed his solitude,couldn't get out of bed,closed his curtains once more,tried to forget what smiling felt like,texted goodbye to everyone,slammed the door,pushed his girlfriend,drove his car off a cliff,made dinner aggressively,became very passive aggressive,dropped the tray of glasses,shot his wife; whom he thought was a burgler,hit the gas pedal instead of the brakes,fainted,vomited vigorously ,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,64219,84636,91748,58915,88243,43429,38749,20076,20714,16786
91,F,english,1,3,4,2,5,1,sad,angry,calm,surprised,happy,2,3,1,4,0,smiled,laughed,went camping,went shopping,went on a date,was dancing,smiled,drank a coke,went hiking,went canoeing,cried,went running,hit something,went to bed,ate too much,smashed his door,went jogging,went boxing,went to bed,broke up with his girlfriend,jumped,danced around,laughed,slammed on the brakes,fell down,4,4,7,4,4,6,5,4,5,4,1,4,1,4,4,1,5,6,1,4,1,1,4,1,1,39588,96095,121085,160197,29587,52006,45376,83752,77707,50976
92,M,English,2,3,5,4,2,1,sad,surprised,angry,calm,happy,2,4,3,1,0,cried,exclaimed,pumped his fist,high fived his teammate,did a chest bump.,relaxed,petted his cat,slept,didn't react negatively,sat there,cried,stayed home,left early,killed himself,couldn't get out of bed.,punched the wall,punched his enemy,yelled,filed a complaint,broke stuff,jumped,screamed,yelled,wet himself,dropped his drink,4,3,1,1,1,1,4,1,2,5,2,4,3,1,1,1,2,3,3,4,2,2,3,4,3,42130,29223,43488,59049,34035,39586,27498,34581,32982,23469
93,M,English,7,4,5,2,3,1,angry,surprised,calm,sad,happy,3,4,1,2,0,played basketball,went out to dinner with his family,went to the circus,watched people sing,was dancing ,was sitting still,was resting,went to read a book,spoked nicely ,was able to walk normally ,failed his math test,couldn't speak,was not able to eat,couldn't read,didn't hang out with his friends,failed the exam,yelled at his children,went to sleep,started swearing ,went out for a walk,fell to the floor ,was startled ,looked shocked ,was speechless ,was confused ,1,1,1,1,1,7,7,7,7,7,1,7,7,1,1,1,1,7,1,7,1,1,1,1,1,107508,132116,73915,65308,53266,29384,23479,22011,37632,24679
94,F,english,4,2,5,1,3,4,calm,surprised,happy,sad,angry,1,4,0,2,3,smiled a large smile,jumped with joy,laughed,took a picture,hugged his wife,quietly sat,smiled softly,lightly put on the icing,was able to escape,was able to calm the children,sat in his room,was quiet,sat alone,cried,killed himself,hit the wall,ripped his paper,yelled at his teacher,broke a chair,wrote a mean letter,screamed,jumped,messed up his paper,cried,was angry ,1,1,1,4,1,1,4,5,6,7,7,4,4,2,1,2,1,1,1,1,2,4,1,2,2,56029,32977,29317,24454,23755,16974,37930,18095,16979,11807
95,F,English,1,4,1,5,3,2,angry,happy,surprised,sad,calm,3,0,4,2,1,looked cheerful,ran down the street,gave away money,threw up his arms,smiled a lot,was cool,stayed there,listened attentively,smiled and nodded,complied with instructions,looked at the ground,felt diminished,looked away,sulked around,would not go out,frowned at her,sulked away,fumed with rage,hid in his car,yelled at the old woman,looked in awe,fell to the ground,jumped up in the air,looked shocked,yelled in delight,2,3,4,3,1,1,5,4,6,4,3,1,4,1,2,2,1,1,5,2,1,1,1,1,2,79303,33970,32291,27218,31693,23740,24978,24537,19281,30568
96,M,English,2,2,5,4,1,3,calm,surprised,angry,happy,sad,1,4,3,0,2,smiled,laughed,danced,sang,cheered,slept,yawned,relaxed,sang,stretched,cried,sobbed,gorged,sighed,withdrew,yelled,screamed,shouted,fumed,gesticulated,jumped,shrieked,froze,jerked,ducked,2,2,4,4,2,7,7,1,6,3,2,2,4,3,2,2,2,2,1,4,2,2,2,2,4,17612,19402,13901,15674,55975,19810,14966,12300,13543,10326
